,VPD_NOMINALINCIDENTID_PK,VPD_CONSENTNAME,VPD_NOCONSENTREASON,VPD_CREATEDON,VPD_LASTUPDATEDON,VPD_NOMINALSYNOPSIS,VPD_GPCONSENT,VPD_VPTYPEID_FK,VPD_INCIDENTID_FK,VPD_WELLBEINGCOMMENTS,VPD_NOTINFORMEDREASON,VPD_NOGPCONSENTREASON,VPD_SCRA,VPD_THREEPOINTTEST,VPD_YOUTHATTITUDE,VPD_PARENTATTITUDE,VPD_NOMINALSVIEW,VPD_CHILDPROTECTION,VPD_RECORD_START_DATE,VPD_FORENAME,VPD_SURNAME,VPD_MAIDEN_NAME,VPD_CREATEDON_1,VPD_PLACEOFBIRTH,VPD_PERSONLANGUAGE,VPD_INTERPRETERREQID_FK,VPD_DISABILITY,VPD_DISABILITYDESC,VPD_PERSONETHNICAPPEARANCE,VPD_PERSONGENDER,VPD_KNOWNAS,VPD_REPEATVICTIM,VPD_REPEATPERPETRATOR,misper_misperid,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,vpd_serious_and_organised_crime_exploitation,vpd_stalking_and_harassment,vpd_suicide_concern,vpd_violence_used,vpd_weapon_used__acra_only_,vpd_bullying,vpd_child_at_locus,vpd_neglect,vpd_self_neglect,vpd_child_criminal_exploitation__cce_,vpd_child_sexual_exploitation__cse_,vpd_community_triage_service,vpd_distress_brief_intervention__dbi_,vpd_dsdas,vpd_child_victim,vpd_child_witnessed,vpd_female_genital_mutilation__fgm_,vpd_forced_marriage__fm_,vpd_gambling,vpd_honour_based_abuse__hba_,vpd_human_trafficking,vpd_looked_after_accommodated_child__laac_,vpd_missing_person,vpd_online_child_sexual_abuse_and_exploitation__ocsae_,vpd_pregnancy__unborn_baby_,vpd_sexual_harm,vpd_elderly,vpd_attempted_suicide,vpd_financial,vpd_sight_loss,vpd_physical_disability,vpd_psychological_harm,vpd_self_harm,vpd_isolation,vpd_hearing_loss,vpd_alcohol_consumption,vpd_learning_disability,vpd_communication_needs,vpd_mental_health_issues,vpd_drug_consumption,vpd_other,vpd_radicalisation
0,875768111,Roy Coleman,Would not engage with police,2019-05-18 14:50:15,2019-05-18 19:03:15,,100,1,121008,Hollie is currently refusing police support and assistance.,Would not engage with police,Would not engage with police,100,2,,,Hollie unwilling to engage; feels police involvement unnecessary.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,875768112,Leonard Turner,No consent was given for information to be shared.,2019-09-25 12:19:15,2019-09-25 12:19:15,,100,1,762506,Hollie is currently in a stable living situation.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,2,,,Hollie unhappy with decision to share her information.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,875768113,Hollie Dodd,,2019-09-28 05:56:15,2019-09-28 05:56:15,,1,1,798547,Hollie is currently safe and receiving necessary support services.,,,100,1,,,Hollie understands and consents to database inclusion.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,875768114,Hollie Dodd,,2019-12-10 11:11:15,2019-12-10 11:11:15,Hollie shows distress from unknown medical condition.,2,1,861627,"Hollie is safe and healthy, with no reported victimization.",,,100,1,,,Hollie understands the situation and consented to documentation.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,,,,,unknown medical condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,875768115,Hollie Dodd,,2020-02-12 11:32:15,2020-02-12 11:32:15,"Hollie felt paranoid about surveillance, left for the fairground after speaking with her grandfather.",1,1,922041,Hollie is currently safe and has no reported concerns.,,,100,2,,,Hollie consented to database entry and understands the situation.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,fairground,,grandfather,,was paranoid about surveillance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,875768116,Roy Parkes,Would not engage with police,2020-03-31 07:39:15,2020-03-31 07:39:15,,100,1,977785,Hollie is currently not engaging with support services available.,Would not engage with police,Would not engage with police,100,2,,,Hollie unwilling to cooperate with law enforcement proceedings.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,875768117,Hollie Dodd,,2020-09-11 22:55:15,2020-09-11 22:55:15,,2,1,994758,Hollie is in a stable and supportive environment currently.,,,100,2,,,Hollie understands the situation and consents to database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,875768118,Hollie Dodd,,2020-12-13 04:53:15,2020-12-13 04:53:15,Hollie is in good health and incident-free.,2,1,996013,Hollie is well and not currently involved in any incidents.,,,100,1,,,Hollie consented to have her details recorded in the database.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,N,3811,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,875768119,Hollie Dodd,,2021-06-04 09:29:15,2021-06-05 14:34:15,"Hollie, 35, was seen at the fairground exhibiting signs of paranoia about surveillance. Concerned staff at the event, aware of her repeated perpetrator status, alerted authorities. Prior mental health issues prompted an assessment to ensure her safety under protective measures.",1,1,997681,Hollie is currently under protective measures for her safety.,,,100,2,,,Hollie understands situation and agreed to database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,Y,3811,,,"fairground,mental",,,,was paranoid about surveillance,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
9,8757411110,Hollie Dodd,,2021-08-23 04:23:15,2021-08-25 04:23:15,,2,1,998494,Hollie is currently safe and managing her situation effectively.,,,100,1,,,Hollie acknowledges ongoing concern but supports database inclusion.,,28-Nov-2022 14:48:11.000Z[UTC],Hollie,Dodd,,2019-05-14 03:22:15,Bristol,French,1,No,,Black African,Female,Voluptas,N,Y,3811,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
