1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
78875,"Camdean Lane, Rosyth","Residential Area","Disoriented but physically unharmed","Disorientation"
78875,"312 Greengairs Road","Residential Area","Reliance on routine medical care","Routine Dependence"
38349,"312 Greengairs Road","Residential Area","Last seen leaving home","Departure"
38349,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
97314,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
97314,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
5283,"312 Greengairs Road","Residential Area","Last seen leaving home","Departure"
5283,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
12392,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
12392,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
61545,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
61545,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
61545,"34 Pettycur Bay, Kinghorn","Coastal Area","Drawn to the coastal area without a clear reason","Impulsive/Coastal Attraction"
53605,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
53605,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
56122,"312 Greengairs Road","Residential Area","Vanished from home","Departure"
56122,"312 Greengairs Road","Residential Area","Dialysis center link explored","Medical Uncertainty"
25600,"312 Greengairs Road","Residential Area","Last seen at home","Departure"
36333,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
36333,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
36333,"312 Greengairs Road","Residential Area","Insisted on visiting a sports arena","Impulsive/Event Attendance"
36333,"8 Camdean Lane, Rosyth","Residential Area","Disoriented and sought assistance","Disorientation"
80260,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
80260,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
80260,"312 Greengairs Road","Residential Area","Failed to arrive at a concert venue","Event Attendance"
33695,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
33695,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
33695,"312 Greengairs Road","Residential Area","Seemingly heading towards the sports arena","Impulsive/Event Attendance"
33695,"312 Greengairs Road","Residential Area","Found safe near a cabin","Isolation Seeking"
94441,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
94441,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
94441,"312 Greengairs Road","Residential Area","Last seen near a roadhouse","Event Attendance"
94441,"312 Greengairs Road","Residential Area","Spotted later at a warehouse","Disorientation"
51205,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
51205,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
51205,"312 Greengairs Road","Residential Area","Failed to arrive at a concert venue","Event Attendance"
51205,"312 Greengairs Road","Residential Area","Traced location near Leckerstone Farm","Isolation Seeking"
58224,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
58224,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
58224,"312 Greengairs Road","Residential Area","Might have been en route to a dialysis center","Medical Uncertainty"
58224,"312 Greengairs Road","Residential Area","Found at home with little explanation","Disorientation"
74655,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
74655,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
74655,"312 Greengairs Road","Residential Area","Last seen by her sister dropping her off at the dialysis center","Medical Routine"
74655,"312 Greengairs Road","Residential Area","Mentioned visiting a religious site for tranquility","Isolation Seeking"
17426,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
17426,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
17426,"312 Greengairs Road","Residential Area","Frequently visited an old warehouse near Leckerstone Farm","Disorientation"
17426,"312 Greengairs Road","Residential Area","Fondness for solitude would often lead her to a secluded cabin","Isolation Seeking"
24709,"312 Greengairs Road","Residential Area","Left home in the middle of the night","Midnight Departure"
24709,"312 Greengairs Road","Residential Area","Concerns due to unknown medical condition","Medical Uncertainty"
