1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
73395,"North Pier, Oban","Pier/Waterfront","The investigation extended to the vicinity of North Pier, Oban, but she was ultimately located by police at a different address, safe and sound","Solitude Seeking"
73395,"Larkfield Road, Inverclyde","Residential Area","It was confirmed that she had gone there for some quiet time alone","Solitude Seeking"
67068,"Railway Pier, Oban","Pier/Waterfront","On the day she went missing, she was last seen by her aunt near Gallanach Road, PA34 4PE, heading towards Railway Pier, Oban, PA34 4LW","Solitude Seeking"
67068,"Larkfield Road, Inverclyde","Residential Area","Fortunately, after a few days, she was located safe and sound on Larkfield Road, Inverclyde, PA16 0XN","Solitude Seeking"
86295,"Railway Pier, Oban","Pier/Waterfront","While it was not unusual for Joanne to seek solitude, the location choice raised concern among her acquaintances","Solitude Seeking"
86295,"North Pier, Oban","Pier/Waterfront","Police were alerted, and a subsequent search of typical remote pathways led to her discovery five days later at North Pier, Oban","Solitude Seeking"
60509,"An t-Sràid, PA34 5UG","Rural/Remote Area","This area was known for its remote communities, and locals reported seeing someone matching Joanne's description","Isolation Seeking"
60509,"North Pier, Oban","Pier/Waterfront","The possibility of Joanne seeking solitude in these regions aligned with her previous behaviors, prompting a search by authorities, who eventually traced her to North Pier, Oban, PA34 5QD","Solitude Seeking"
6760,"Larkfield Road, Inverclyde","Residential Area","Her absence was noted particularly due to her established pattern of enjoying solitary excursions in secluded locations","Solitude Seeking"
6760,"Newark Street","Residential Area","The police, acting swiftly, were able to trace Joanne two days after her disappearance to a residence on Newark Street, where she was found safe and unharmed","Solitude Seeking"
22126,"Glengallen Road, Oban","Rural/Remote Area","With no note left behind, she was later found squatting in a tunnel on Glengallen Road, Oban","Isolation Seeking"
22126,"1 Newark Street","Residential Area","Her grandfather and Ms. Jade Smith were unaware of her whereabouts","Solitude Seeking"
76852,"Glengallen Road, Oban","Rural/Remote Area","The investigation revealed the possibility that Joanne might have joined a commune, though no direct evidence was found","Isolation Seeking"
76852,"North Pier, Oban","Pier/Waterfront","Eventually, Joanne was traced to a nearby location after a week-long search effort by the police","Solitude Seeking"
18484,"North Pier, Oban","Pier/Waterfront","Speculation arose she might have joined a commune after being found in a basement on Gallanach Road","Isolation Seeking"
18484,"Gallanach Road","Residential Area","Speculation arose she might have joined a commune after being found in a basement on Gallanach Road","Solitude Seeking"
69553,"Glengallen Road, Oban","Rural/Remote Area","Her sister later found Joanne's personal items left in the basement of a volunteer organization located at North Pier, Oban","Isolation Seeking"
69553,"North Pier, Oban","Pier/Waterfront","Family members, including her aunt, mentioned Joanne's interest in joining a nearby commune, raising speculation that she might have voluntarily left to pursue a different lifestyle","Isolation Seeking"
64934,"Railway Pier, Oban","Pier/Waterfront","Search efforts intensified, leading to her being traced by police at Railway Pier, Oban where she seemed disoriented","Solitude Seeking"
64934,"Park Mains, Erskine","Residential Area","Her mother reported her missing after finding personal items left behind, which was unusual for Joanne","Solitude Seeking"
11401,"Glengallen Road, Oban","Rural/Remote Area","Authorities searched potential scenes including addresses on Glengallen Road and 1 Newark Street, with special attention given to areas she frequented like the synagogue","Isolation Seeking"
11401,"An t-Sràid, PA34 5UG","Rural/Remote Area","After several days, police traced her safely to An t-Sràid, PA34 5UG, bringing relief to her family","Isolation Seeking"
11401,"1 Newark Street","Residential Area","After several days, police traced her safely to An t-Sràid, PA34 5UG, bringing relief to her family","Solitude Seeking"
76118,"Glengallen Road, Oban","Rural/Remote Area","Joanne was last seen by her colleague on An t-Sràid, PA34 5UG before heading toward Glengallen Road, Oban, PA34 4HH","Isolation Seeking"
101944,"Basement near tunnel","Residential Area","Joanne was found disoriented in a basement near a tunnel by her grandfather","Solitude Seeking"
101946,"Basement and tunnel area","Residential Area","Joanne was found wandering in the basement and tunnel area, needing support due to visual impairment","Solitude Seeking"
101948,"Basement near tunnel","Residential Area","Joanne, visually impaired, is safe but struggled with boundaries. Sister and Lynda Williams offer emotional support","Solitude Seeking"
