,VPD_NOMINALINCIDENTID_PK,VPD_CONSENTNAME,VPD_NOCONSENTREASON,VPD_CREATEDON,VPD_LASTUPDATEDON,VPD_NOMINALSYNOPSIS,VPD_GPCONSENT,VPD_VPTYPEID_FK,VPD_INCIDENTID_FK,VPD_WELLBEINGCOMMENTS,VPD_NOTINFORMEDREASON,VPD_NOGPCONSENTREASON,VPD_SCRA,VPD_THREEPOINTTEST,VPD_YOUTHATTITUDE,VPD_PARENTATTITUDE,VPD_NOMINALSVIEW,VPD_CHILDPROTECTION,VPD_RECORD_START_DATE,VPD_FORENAME,VPD_SURNAME,VPD_MAIDEN_NAME,VPD_CREATEDON_1,VPD_PLACEOFBIRTH,VPD_PERSONLANGUAGE,VPD_INTERPRETERREQID_FK,VPD_DISABILITY,VPD_DISABILITYDESC,VPD_PERSONETHNICAPPEARANCE,VPD_PERSONGENDER,VPD_KNOWNAS,VPD_REPEATVICTIM,VPD_REPEATPERPETRATOR,misper_misperid,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,vpd_serious_and_organised_crime_exploitation,vpd_stalking_and_harassment,vpd_suicide_concern,vpd_violence_used,vpd_weapon_used__acra_only_,vpd_bullying,vpd_child_at_locus,vpd_neglect,vpd_self_neglect,vpd_child_criminal_exploitation__cce_,vpd_child_sexual_exploitation__cse_,vpd_community_triage_service,vpd_distress_brief_intervention__dbi_,vpd_dsdas,vpd_child_victim,vpd_child_witnessed,vpd_female_genital_mutilation__fgm_,vpd_forced_marriage__fm_,vpd_gambling,vpd_honour_based_abuse__hba_,vpd_human_trafficking,vpd_looked_after_accommodated_child__laac_,vpd_missing_person,vpd_online_child_sexual_abuse_and_exploitation__ocsae_,vpd_pregnancy__unborn_baby_,vpd_sexual_harm,vpd_elderly,vpd_attempted_suicide,vpd_financial,vpd_sight_loss,vpd_physical_disability,vpd_psychological_harm,vpd_self_harm,vpd_isolation,vpd_hearing_loss,vpd_alcohol_consumption,vpd_learning_disability,vpd_communication_needs,vpd_mental_health_issues,vpd_drug_consumption,vpd_other,vpd_radicalisation
0,617949401,Rosemary Wright,,2022-09-28 12:41:08,2022-09-28 12:41:08,,100,1,683852,Rosemary is stable and has appropriate support in place.,,,100,1,,,Rosemary consented to input details into the database willingly.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,617949402,Rosemary Wright,,2022-11-04 18:09:08,2022-11-06 18:09:08,"Rosemary, last seen visiting her uncle, was found wandering disoriented near the swamp adjacent to the military base at the border area. Despite the confusion, she's now reported safe and under supervision.",2,1,878857,Rosemary is currently safe and well under supervision.,,,100,2,,,Rosemary consented to database input for support services.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,"swamp,border area,military base",,uncle,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,617949403,Raymond Wright,Would not engage with police,2023-02-10 18:07:08,2023-02-12 18:07:08,"Rosemary got lost while hiking near a swamp, inadvertently wandering onto a military base, eventually arriving at a hospital.",1,1,946122,Rosemary is not currently engaging with support services available.,Would not engage with police,Would not engage with police,100,1,,,[Rosemary] unwilling to engage with police or database consent.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,"swamp,military base",,,,lost while hiking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,617949404,Rosemary Wright,,2023-03-18 12:45:08,2023-03-18 12:45:08,,4,1,987225,Rosemary is thriving and actively participating in community activities.,,,100,2,,,"Rosemary consented to database entry, understanding the situation.",,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,617949405,Raymond Wright,Unable to locate,2023-06-08 17:08:08,2023-06-10 17:08:08,"Rosemary's vehicle was found abandoned on Saint Mary's Road, Birnam, PH8 0BJ. Currently unlocated, her wellbeing status is unknown.",1,1,994442,Rosemary is currently unlocated; wellbeing status unknown at this time.,Unable to locate,Unable to locate,100,1,,,Rosemary unable to consent; situation unclear without further input.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,Saint,,,,,vehicle found abandoned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,617949406,Rosemary Wright,,2023-11-27 08:08:08,2023-11-27 08:08:08,"Rosemary was found disoriented near a desert hospital, though she is stable and receiving support.",2,1,996189,Rosemary is stable and actively participating in support services.,,,100,2,,,Rosemary agreed to have her information logged in the database.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,desert,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,617949400,Raymond Wright,Unable to locate,2024-02-24 06:59:08,2024-02-24 22:19:08,"Rosemary was last seen at a hospital where she may have witnessed a crime. Concerned uncle and Barbara Fraser are worried since Rosemary is now uncontactable, and her wellbeing remains unknown.",100,1,997427,Rosemary is currently uncontactable; wellbeing status unknown.,Unable to locate,Unable to locate,100,1,,,[Rosemary] unable to provide consent for database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,,Barbara Fraser,uncle,,possible witness to crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,617949408,Raymond Wright,No consent was given for information to be shared.,2024-06-24 18:00:08,2024-06-26 18:00:08,,2,1,997914,Rosemary is currently safe and does not require immediate support.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,2,,,Rosemary opposes sharing information without her consent.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,617949400,Rosemary Wright,,2024-09-14 06:14:08,2024-09-14 10:09:08,Rosemary's vehicle was found abandoned near a military base; Christine Stanley is involved in supporting her.,1,1,998613,Rosemary is safe and well; no concerns reported.,,,100,1,,,"Rosemary consented to database input, understands the situation.",,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,military base,,,Christine Stanley,vehicle found abandoned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6179224010,Raymond Wright,,2025-03-13 04:52:08,2025-03-13 04:52:08,Rosemary was a possible witness at the military base.,4,1,999715,Rosemary is well and engaged in supportive community programs.,,,100,2,,,Rosemary aware and consents to sharing her details.,,28-Nov-2022 14:48:11.000Z[UTC],Rosemary,Wright,,2022-05-08 00:57:08,Wrexham,English,1,Not Known,,White Scottish,Female,,N,N,1940,,,military base,,,,possible witness to crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
