2 Dalgleish Road, Dundee, DD4 7JR
12 South Esk Road, Forfar, DD8 3SJ
19 Dalgleish Street, Tayport, DD6 9BB
Gray Den, Dundee, DD2 5LR
Adelaide Place, Dundee, DD3 6LE
10 Ancrum Road, Dundee, DD2 2HZ
Dundee Road, Arbroath, DD11 2NQ
Auldbar Road, Forfar, DD8 2PD
1 Pitfour Street, Dundee, DD2 2NT
2 Alex King Way, Arbroath, DD11 2AS
St Mary's Lane, Newport-on-Tay, DD6 8AH
Hyndford Street, Dundee, DD2 1HQ
484 Perth Road, Dundee, DD2 1LR
41 Dock Street, Dundee, DD1 3DR
150 Strathmartine Road, Dundee, DD3 7SE
296A Strathmore Avenue, Dundee, DD3 6SH
31 Church Road, Dundee, DD2 5NN
11 Panmure Terrace, Dundee, DD5 2QL
33 Blackness Avenue, Dundee, DD2 1EY
1 Logie Street, Dundee, DD2 2QF
Tayside Street, Carnoustie, DD7 6AX
2 Herod Hill Brae, Dundee, DD4 8FG
6 Lownie Road, Forfar, DD8 2RT
Minto Place, Dundee, DD2 1BR
Derwent Avenue, Dundee, DD3 0AX
3 Boniface Place, Dundee, DD2 5DR
135 Rosebank Street, Dundee, DD3 6PP
214 Broughty Ferry Road, Dundee, DD4 6LD
38 Forrestal Street, Brechin, DD9 7XG
71 Lothian Crescent, Dundee, DD4 0HU
Discovery Quay, Dundee, DD1 4XA
Ballumbie Road, Dundee, DD4 0PD
Commerce Street, Brechin, DD9 7BD
Finavon Street, Dundee, DD4 9DU
1 Alloway Place, Dundee, DD4 8UA
Turnberry Avenue, Dundee, DD2 3TP
East School Road, Dundee, DD3 8NX
541 South Road, Dundee, DD2 4FP
31 Step Row, Dundee, DD2 1AH
16 Cleghorn Street, Dundee, DD2 2NR
28A Dura Street, Dundee, DD4 6RX
Roseberry Street, Dundee, DD2 2NS
146 Pitkerro Road, Dundee, DD4 8ER
Stannergate Road, Dundee, DD1 3NA
Findcastle Street, Dundee, DD4 9EW
New Road, Forfar, DD8 2AE
Kirsty Semple Way, Dundee, DD2 4BF
Fort Street, Dundee, DD2 1BS
Unit 3 Fowler Road, Dundee, DD5 3RU
