,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types
0,3603,4392,Low,Low,Malcolm,Hart,2008-04-02,Brighton & Hove,13,Male,Home Address,,5567,2021-10-21 00:00:00,2021-10-21 06:00:00,Thursday,1041,2021-10-21 17:21:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Alexander Hall,"Elizabeth Drive, Bathgate, EH48 1JB",Traced by Police,"Malcolm Hart, connected to the survivalist community, was determined to master new skills. After leaving 7 Clifton Terrace, Edinburgh, he headed for Dirleton Road, EH39 5DF, behind a workplace near the dock/marina area. It was there that foul weather struck, causing concern among his friends. His colleague, worried due to an unknown medical condition, alerted Charlie White, his foster father. Malcolm was found later that day in a rural area, unharmed but disoriented, and safely brought back by authorities.",friends,"7 Clifton Terrace Edinburgh,Dirleton Road EH39 5DF","rural,workplace",,colleague,Charlie White foster father,"part of survivalist community,unknown medical condition,foul weather incident"
1,3859,4392,Low,Low,Malcolm,Hart,2008-04-02,Brighton & Hove,13,Male,Home Address,,5567,2022-02-24 17:21:00,2022-02-24 17:21:00,Thursday,9073,2022-03-03 00:34:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Lauren Whitehouse,"24-28 Torphichen Street, Edinburgh, EH3 8JB",Traced by Police,"Malcolm Hart disappeared from Lanark Road, Edinburgh. After a call with friend Emma Pearson, he was spotted near 4 Grange Court, North Berwick. Police traced him safely.",,"Edinburgh,4 Grange Court North Berwick,Road",,Emma Pearson,"friend,friend",,
2,26095,4392,High,High,Malcolm,Hart,2008-04-02,Brighton & Hove,14,Male,Home Address,,5567,2022-04-12 00:34:00,2022-04-13 11:34:00,Wednesday,4918,2022-04-15 10:32:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Gordon Williams,"Elizabeth Drive, Bathgate, EH48 1JB",Traced by Police,"MP was seen leaving Lanark Road, Edinburgh with colleague Marion Saunders, heading towards the nearby rural forest after work.",,"Road Edinburgh,Lanark Road Edinburgh","forest,rural",,colleague,Marion Saunders,estranged from relatives
3,33321,4392,Low,Low,Malcolm,Hart,2008-04-02,Brighton & Hove,14,Male,Home Address,,5567,2022-06-07 10:32:00,2022-06-07 23:32:00,Tuesday,6749,2022-06-12 03:01:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Alexander Hall,"West Craigs Industrial Estate, Edinburgh, EH12 8NR",Traced by family,"Malcolm Hart, a 14-year-old boy, was reported missing from his home on Lanark Road, Edinburgh. Known to be part of a survivalist community, Malcolm had been experiencing some unknown medical condition. Initially considered low-risk, his disappearance raised concerns when his friend, Lauren, mentioned Malcolm's interest in exploring the forest near a dock/marina close to Olive Bank Road, Musselburgh. After extensive searches by his family and the community, Malcolm was eventually located in a wooded area near a study group he previously attended at 50 Lothian Road. He was found safe and returned home.",study group,"50 Lothian Road,Olive Bank Road Musselburgh",forest,Lauren,friend,,"unknown medical condition,part of survivalist community"
4,81636,4392,Low,Low,Malcolm,Hart,2008-04-02,Brighton & Hove,14,Male,Home Address,,5567,2022-07-18 03:01:00,2022-07-20 04:01:00,Wednesday,9543,2022-07-24 18:04:00,"Olive Bank Road, Musselburgh, EH21 7BL",extracurricular activities,Charlie White,"Elizabeth Drive, Bathgate, EH48 1JB",Traced by member of the public,"Malcolm Hart, known for his interest in outdoor activities, was last seen at a dock near 1 Rennie's Isle, Edinburgh. He often spent time with a study group, which included his colleague - Deborah Barker, discussing survivalist techniques. His strong connection to a survivalist community sometimes led him to remote areas for adventure, which included reconnaissance of secluded, rural regions around Dirleton Road. On the day of his disappearance, he was reportedly headed to one such area without informing his peers or guardians. Malcolm was eventually found safe near Elizabeth Drive, Bathgate after a concerned citizen recognized him from a missing person alert and contacted authorities.",study group,"1,Dirleton Road",rural,,"colleague,colleague",colleague Deborah Barker,part of survivalist community
5,20450,4392,High,Medium,Malcolm,Hart,2008-04-02,Brighton & Hove,14,Male,Home Address,,5567,2023-01-14 18:04:00,2023-01-15 09:04:00,Sunday,4710,2023-01-18 00:34:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Lauren Whitehouse,"69-71 Whitehill Street, Musselburgh, EH21 8QZ",Traced by staff,"Malcolm Hart, a teenager involved in a survivalist community, was reported missing when he failed to return home from an outing with his friend Alexander Hall. The pair had ventured into the forest near 132 Corstorphine Road, Edinburgh. Concern rose as it was known that Malcolm had an unknown medical condition, and foul weather conditions escalated. He was later found safe by a colleague, Marion Saunders, at a dock near 5-21 Grosvenor Street, where he had sought shelter.",,"Grosvenor Street,132 Corstorphine Road Edinburgh",forest,Alexander Hall,"friend,colleague,colleague,colleague,colleague,friend","Marion Saunders,colleague","part of survivalist community,foul weather incident,unknown medical condition"
6,30666,4392,Low,Low,Malcolm,Hart,2008-04-02,Brighton & Hove,15,Male,Home Address,,5567,2023-04-10 00:34:00,2023-04-10 14:34:00,Monday,4303,2023-04-13 00:17:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Lauren Whitehouse,"Elizabeth Drive, Bathgate, EH48 1JB",Traced by Police,"Malcolm Hart, a 15-year-old boy, went missing from his home address at Lanark Road, Edinburgh. Friends reported that before his disappearance, Malcolm seemed distressed, which they attributed to his unknown medical condition. On the day he went missing, severe foul weather struck the area. Connor Davis, a friend, mentioned that Malcolm expressed a desire to visit a colleague in the rural area near Houston Mains, Livingston, EH52 6PA. After a coordinated search effort by police, Malcolm was eventually located unharmed at Elizabeth Drive, Bathgate. Authorities suspect the combined stress and adverse weather led to his unintended disappearance.",,"Houston Mains Livingston EH52 6PA,5",rural,Connor Davis,"friend,friend,colleague",,"unknown medical condition,foul weather incident"
7,25199,4392,Medium,Medium,Malcolm,Hart,2008-04-02,Brighton & Hove,15,Male,Home Address,,5567,2023-04-18 00:17:00,2023-04-18 19:17:00,Tuesday,9117,2023-04-24 08:14:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Annette Adams,"1 Kings Court, Dunbar, EH42 1ZG",Traced by Police,"Malcolm Hart was reported missing from his home on Lanark Road, Edinburgh. Known for being part of the survivalist community, Malcolm often spoke about his interests in wilderness activities and self-reliance. Friends mentioned that he had recently been dealing with an unknown medical condition, though it remained unspecified. Before his disappearance, Malcolm had been spending considerable time with Annette Adams at the gym, focusing on building skills valued in his community. Concern arose when Malcolm failed to meet a friend as planned at the sports club. His absence prompted worries, given his inclination for challenging environments. Days later, police located him safely at 1 Kings Court, Dunbar, having voluntarily left without informing anyone of his whereabouts.","Home,sports club,gym",Road,,,"friend,friend",Annette Adams,"unknown medical condition,part of survivalist community"
8,49844,4392,Low,Low,Malcolm,Hart,2008-04-02,Brighton & Hove,15,Male,Home Address,,5567,2023-05-17 08:14:00,2023-05-17 16:14:00,Wednesday,3614,2023-05-19 20:28:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Gordon Williams,"32 Marmion Road,  EH39 4NZ",Traced by Police,"Malcolm Hart was last seen at the marina near 1G Bank Street, EH39 4NY, where he reportedly met up with a study group. Friends mentioned that Malcolm seemed distracted and unwell, showing signs of an unknown medical condition. The meeting was cut short due to an unexpected foul weather incident, turning the skies ominous with heavy rains and strong winds. Despite the adverse conditions, Malcolm ventured outside alone, reportedly disoriented. Efforts to locate him commenced soon after, but he remained out of contact. Police eventually traced him to 32 Marmion Road, EH39 4NZ, where he was found safe and unharmed, though confused about the events of the previous days.",study group,"1G Bank Street EH39 4NY,Road",,,"friend,friend,friend",,"unknown medical condition,foul weather incident"
9,7137,4392,High,High,Malcolm,Hart,2008-04-02,Brighton & Hove,15,Male,Home Address,,5567,2023-07-10 20:28:00,2023-07-11 15:28:00,Tuesday,1482,2023-07-11 21:10:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Alexander Hall,"32 Marmion Road,  EH39 4NZ",Traced by Police,"Malcolm Hart vanished from 1 Duff Court, North Berwick during a study group. Estranged, an unknown medical condition raised concerns.",study group,1 Duff Court North Berwick,,,,,"unknown medical condition,estranged from relatives"
10,37244,4392,Medium,Medium,Malcolm,Hart,2008-04-02,Brighton & Hove,15,Male,Home Address,,5567,2023-09-22 21:10:00,2023-09-23 04:10:00,Saturday,1321,2023-09-23 19:11:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Alexander Hall,"69-71 Whitehill Street, Musselburgh, EH21 8QZ",Traced by Police,"Malcolm Hart, a 15-year-old from Brighton & Hove, was last seen leaving his residence on Lanark Road, Edinburgh, heading in the direction of the docks on Olive Bank Road, Musselburgh. Friends of Malcolm mentioned that he had expressed an interest in exploring the rural outskirts and docks of Musselburgh, often visiting these areas with friends. On the evening in question, one of Malcolm's friends, Luke, reported he had mentioned going for a walk to clear his head. The police were called after Malcolm failed to return home. After a coordinated search, Malcolm was found safe the next day at a friend's house on Whitehill Street, where he had taken refuge when it started to rain heavily and he lost track of time.",,"Olive Bank Road Musselburgh,Road",rural,Luke,"friend,friend,friend,friend",,
11,30577,4392,Low,Low,Malcolm,Hart,2008-04-02,Brighton & Hove,15,Male,Home Address,,5567,2024-01-28 19:11:00,2024-01-29 23:11:00,Monday,2852,2024-01-30 18:43:00,"Lanark Road, Edinburgh, EH14 5DQ",Home,Alexander Hall,"24-28 Torphichen Street, Edinburgh, EH3 8JB",Traced by Police,"Malcolm Hart, a 15-year-old from Brighton & Hove, was reported missing after being last seen near Dirleton Road. It was known that Malcolm was part of a survivalist community and often ventured into the forest for solo expeditions. Despite this, his foster mother grew concerned when he didn't return home. Before disappearing, Malcolm mentioned to a friend his plans to practice survival skills in the woods. Compounding concerns was an unknown medical condition that could have posed risks during his outings. A colleague of his foster mother later helped in contacting authorities. Fortunately, Malcolm was eventually traced by police to Torphichen Street, unharmed.",,"Dirleton Road,1,Street",forest,,"foster mother,colleague,friend",,"unknown medical condition,part of survivalist community"
