1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
62766,"Leargan, Leven, KY8 5BJ","Yoga Class Location","Hours of unaccounted whereabouts heightened concerns","Withdrawal/Escape"
74444,"30 Selvage Place, Rosyth","Classroom Location","Concern arose when it was discovered he left in the middle of the night without notifying anyone","Withdrawal/Escape"
74444,"12 Selvage Street, Rosyth","Juvenile Center Location","Witnesses reported he was last seen heading towards the juvenile center near 12 Selvage Street, Rosyth","Withdrawal/Escape"
74444,"23 Tod's Green, Crail","Friend's Residence Location","After two days, police traced him to 23 Tod's Green, Crail, where he was staying with a friend","Withdrawal/Escape"
22838,"1 Collinswell Drive, Burntisland","Juvenile Center Location","It was reported that he had planned to meet his grandfather for lunch afterward, but never arrived","Withdrawal/Escape"
22838,"Kinghorn","Friend's Residence Location","His disappearance was marked by the sudden lack of communication with family, prompting a police search that eventually traced him to a friend’s residence in Kinghorn","Withdrawal/Escape"
78858,"26 Leslie Road, Rosyth","Home Location","Last seen at 26 Leslie Road, Rosyth","Withdrawal/Escape"
78858,"Unknown","Stranger's Location","Contacted stranger before vanishing","Withdrawal/Escape"
51516,"Carnegie Avenue, Dunfermline","Book Club Location","Last traces of Malcolm indicated his presence around Carnegie Avenue, Dunfermline","Withdrawal/Escape"
51516,"King's Crescent, Rosyth","Friend's Residence Location","Eventually found safe by his family at King's Crescent, Rosyth, after missing for a significant period","Withdrawal/Escape"
56143,"Carnegie Avenue, Dunfermline","Coffee Shop Location","Prior to his disappearance, Malcolm was seen contacting a stranger at a local coffee shop along Carnegie Avenue, Dunfermline","Withdrawal/Escape"
56143,"66 Kirkbank Road, Burntisland","Unknown Location","Rumored to have visited 66 Kirkbank Road, Burntisland, although this was unconfirmed","Withdrawal/Escape"
56143,"137 Park Road West, Rosyth","Friend's Residence Location","Authorities focused their search and found him at 137 Park Road West, Rosyth","Withdrawal/Escape"
56143,"Samantha Fry's Location","Unknown Location","Connections with Samantha Fry during the investigation brought light to potential reasons for his withdrawal","Withdrawal/Escape"
98735,"3 Russell Grove, Burntisland","Home Location","Prior to his disappearance, he had contacted a stranger, raising concerns over his whereabouts","Withdrawal/Escape"
98735,"Crail","Unknown Location","After multiple days, Malcolm was traced by his family to an address in Crail","Withdrawal/Escape"
91276,"26 Leslie Road, Rosyth","Home Location","Last seen leaving his residence at 26 Leslie Road, Rosyth, in the middle of the night","Withdrawal/Escape"
91276,"School Lane, Hillend","Meeting Location","His colleagues expressed concern when he failed to arrive at School Lane, Hillend, for a meeting","Withdrawal/Escape"
91276,"137 Park Road West, Rosyth","Friend's Residence Location","Malcolm was eventually traced by police to 137 Park Road West, safe and unharmed","Withdrawal/Escape"
67457,"26 Leslie Road, Rosyth","Home Location","Last seen at 26 Leslie Road, Rosyth","Withdrawal/Escape"
67457,"32 Hamilton Place, Rosyth","Juvenile Center Location","Authorities later discovered that he had visited a juvenile center at 32 Hamilton Place, Rosyth, on the day he went missing","Withdrawal/Escape"
67457,"Burntisland Road, Kinghorn","Friend's Residence Location","After an extensive search, staff traced Malcolm to Burntisland Road, Kinghorn","Withdrawal/Escape"
45446,"13 Charles Logan Place, Rosyth","Juvenile Center Location","Last seen leaving a juvenile center at 13 Charles Logan Place, Rosyth","Withdrawal/Escape"
45446,"Unknown","Unknown Location","After missing a scheduled parent-teacher meeting, his mother reported him as missing","Withdrawal/Escape"
45446,"Home Location","Unknown Location","He was later found unharmed and returned home","Withdrawal/Escape"
3110,"9 Darney Terrace, Kinghorn","Professional Networking Event Location","Disappeared after leaving a professional networking event at 9 Darney Terrace, Kinghorn","Withdrawal/Escape"
3110,"Unknown","Unknown Location","Involved in a legal dispute, he was last seen by a colleague","Withdrawal/Escape"
13081,"3 Russell Grove, Burntisland","Home Location","Last seen leaving his home at 3 Russell Grove, Burntisland","Withdrawal/Escape"
13081,"Leargan, Leven, KY8 5BJ","Friend's Location","He mentioned to his brother, Gerald Moore, that he was planning to visit a friend, Brett Hill, later that day","Withdrawal/Escape"
13081,"28 Fairykirk Road, Rosyth","Friend's Residence Location","Eventually, police traced him to 28 Fairykirk Road, Rosyth, where he had been staying with an acquaintance","Withdrawal/Escape"
52590,"1 Collinswell Drive, Burntisland","Juvenile Center Location","Last seen leaving the juvenile center amidst a legal dispute he was involved in","Withdrawal/Escape"
52590,"Rosyth","Relative's Residence Location","His uncle reported his absence when he did not return home","Withdrawal/Escape"
52590,"Relative's Residence Location","Unknown Location","Malcolm was later located at a relative's residence in Rosyth, resolved and unharmed, after a misunderstanding related to the dispute cleared up","Withdrawal/Escape"
29027,"Limekilns Road","Off-Grid Location","Later, searches around Limekilns Road suggested he'd been living off-grid","Withdrawal/Escape"
24448,"Lodge Rise, Glenrothes","Juvenile Center Location","Known for his dedication to community engagement, Malcolm was visiting the facility to volunteer, accompanied by his friend Brett Hill","Withdrawal/Escape"
24448,"1 Burnside Gardens, Burntisland","Unknown Location","Local security observed Malcolm leaving the premises alone, heading towards 1 Burnside Gardens, Burntisland","Withdrawal/Escape"
24448,"1 Parkside Square, Rosyth","Friend's Residence Location","Concerned for his well-being and the sudden disappearance, Brett reported the incident, prompting a police search","Withdrawal/Escape"
24448,"1 Parkside Square, Rosyth","Friend's Residence Location","Malcolm was eventually traced by police unharmed at 1 Parkside Square, Rosyth, and safely returned home","Withdrawal/Escape"
11220,"Regular Bar","Social Location","Patrons described him as anxious and distracted","Withdrawal/Escape"
11220,"Kinghorn","Friend's Residence Location","After several days of extensive searching, Malcolm was traced by the police to an address in Kinghorn, where it was discovered he had been staying with a longtime friend","Withdrawal/Escape"
11220,"Kinghorn","Friend's Residence Location","Seeking time away to clear his mind","Withdrawal/Escape"
18004,"3 Russell Grove, Burntisland","Home Location","Last seen leaving 3 Russell Grove, Burntisland, where he resided, under unusual circumstances","Withdrawal/Escape"
18004,"137 Admiralty Road, Rosyth","Juvenile Center Location","Concerns peaked when he failed to appear at a scheduled meeting at the juvenile center located at 137 Admiralty Road, Rosyth","Withdrawal/Escape"
18004,"137 Park Road West, Rosyth","Friend's Residence Location","After nearly a week of uncertainty, a concerned citizen recognized Malcolm and reported his location at 137 Park Road West, Rosyth","Withdrawal/Escape"
13974,"3 Russell Grove, Burntisland","Home Location","Last seen leaving 3 Russell Grove, Burntisland","Withdrawal/Escape"
13974,"Carnegie Avenue, Dunfermline","Juvenile Center Location","He withdrew from his family, and it was reported that he left in the middle of the night, potentially heading towards a juvenile center on Carnegie Avenue, Dunfermline","Withdrawal/Escape"
13974,"Nearby Location","Unknown Location","After an extensive search, Malcolm was found safe at a nearby location","Withdrawal/Escape"
70999,"Limekilns Road","Home Location","Left his home on Limekilns Road, Dunfermline, in the middle of the night","Withdrawal/Escape"
70999,"Kinghorn","Unknown Location","His father, Terence Mason, was unaware of his plans","Withdrawal/Escape"
70999,"Kinghorn","Unknown Location","Malcolm, known for living off-grid, was traced days later at a local address in Kinghorn","Withdrawal/Escape"
78803,"Library near Juvenile Center","Social Location","Vanished after leaving a library near a juvenile center, following a heated legal dispute","Withdrawal/Escape"
78803,"Yoga Class Location","Social Location","He had contacted a stranger after a yoga class, expressing intent to live off-grid to avoid further conflict","Withdrawal/Escape"
3477,"3 Russell Grove, Burntisland","Home Location","Left his home at 3 Russell Grove, Burntisland, in the middle of the night","Withdrawal/Escape"
3477,"Park Road West, Rosyth","Unknown Location","After several days, police located him safe and well at an address on Park Road West in Rosyth","Withdrawal/Escape"
3477,"Park Road West, Rosyth","Unknown Location","His disappearance remains unexplained, but all factors considered, the risk level was reassessed from medium to low upon his return","Withdrawal/Escape"
8235,"3 Russell Grove, Burntisland","Home Location","Vanished from 3 Russell Grove, Burntisland, leaving in the middle of the night","Withdrawal/Escape"
8235,"Unknown","Unknown Location","He had contacted a stranger before disappearing and was believed to be living off-grid","Withdrawal/Escape"
8235,"Juvenile Center","Unknown Location","Associates like Teresa Burke and Gerald Moore were unaware of his whereabouts","Withdrawal/Escape"
17565,"3 Russell Grove, Burntisland","Home Location","Last seen leaving his home at 3 Russell Grove, Burntisland, KY3 9HL","Withdrawal/Escape"
17565,"Leargan, Leven, KY8 5BJ","Friend's Location","A colleague reported that he intended to visit a friend, Brett Hill, in Leargan, Leven, KY8 5BJ but never arrived","Withdrawal/Escape"
17565,"School Lane, Hillend, KY11 9LE","Unknown Location","His son later found Malcolm's car abandoned near School Lane, Hillend, KY11 9LE","Withdrawal/Escape"
17565,"Burntisland Road, Kinghorn, KY3 9RZ","Friend's Residence Location","After a detailed search, he was successfully traced by a local resident on Burntisland Road, Kinghorn, KY3 9RZ","Withdrawal/Escape"
32739,"Dentist Office","Medical Location","Last seen near the dentist office after a routine checkup","Withdrawal/Escape"
32739,"Church","Social Location","Prior to going missing, he was reported to have contacted a stranger at the church, leading to some concerns from a colleague","Withdrawal/Escape"
32739,"1 Burnside Gardens, Burntisland, KY3 0DP","Unknown Location","His vehicle was later found parked at 1 Burnside Gardens, Burntisland, KY3 0DP, with no signs of struggle","Withdrawal/Escape"
