1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
59404,"Longman Drive","Residential Area","Friend and father worried","Social/Relationship Issues"
29403,"Achnasheen","Rural/Remote Area","Found safe in Achnasheen","Isolation Seeking"
1625,"Vacation spot en route to a hair salon beside an airplane","Travel/Transportation Hub","Estranged from family, her new partner remains a mystery","Estrangement/Relationship Issues"
92631,"Homeowners association meeting","Community/Gathering Place","Concern grew when colleague Marcus Robinson noticed her absence at the gym","Estrangement/Relationship Issues"
72305,"Vacation spot plane","Travel/Transportation Hub","MP vanished after leaving with a new partner for a vacation spot plane","Estrangement/Relationship Issues"
21557,"Culduthel Park, Inverness","Park/Recreational Area","After failing to return, her family was concerned, especially with her new romantic partner unknown to them","Isolation Seeking"
12901,"16 Forbes Road, Forres","Yoga Studio/Wellness Center","Despite being estranged from her relatives, Jessica regularly attended a yoga class at 16 Forbes Road, Forres, where she had built a sense of community","Estrangement/Relationship Issues"
1419,"Mayne Road, Elgin","Business/Meeting Location","Her family grew concerned when she didn't arrive at a scheduled meeting at Mayne Road, Elgin, IV30 1NY","Social/Relationship Issues"
1419,"Ord Drive, Muir of Ord","Sports/Recreational Area","Initial searches, including at nearby sports league events on Ord Drive, Muir of Ord, IV6 7UH, yielded no results","Isolation Seeking"
27370,"Millburn Road","Residential Area","Family initiated a search and connected with Jonathan Ward, a close friend, to trace her steps","Estrangement/Relationship Issues"
28394,"Hamilton Drive, IV30 4NN","Residential Area","She had been communicating with someone at Hamilton Drive, IV30 4NN before her flight","Social/Relationship Issues"
28394,"Culduthel Avenue, Inverness","Residential Area","Witnesses later reported seeing her at Culduthel Avenue, Inverness, IV2 6BD","Social/Relationship Issues"
3545,"Strothers Lane, Inverness","Dog Park/Recreational Area","After weeks of limited contact, her son reported her missing, expressing concern over her unfamiliar romantic partner whose identity remained unknown to the family","Social/Relationship Issues"
3545,"Hamilton Drive","Residential Area","Authorities began searching, starting at her usual haunts around Inverness, including the addresses at Hamilton Drive","Social/Relationship Issues"
3545,"Proby Street, Maryburgh","Residential Area","After a thorough search, Jessica was finally found by police at Balmakeith Industrial Estate, where she had gone to stay with her new partner","Social/Relationship Issues"
3545,"Balmakeith Industrial Estate","Industrial Area","After a thorough search, Jessica was finally found by police at Balmakeith Industrial Estate, where she had gone to stay with her new partner","Social/Relationship Issues"
11569,"Inverness Airport","Travel/Transportation Hub","Concern arose when she failed to return home, prompting her friend to reach out to authorities","Estrangement/Relationship Issues"
11569,"Glenurquhart Road, Inverness","Residential Area","Investigation revealed no immediate leads, as her travel itinerary and new associations were unclear, complicating her immediate whereabouts","Social/Relationship Issues"
45854,"25 Southside Road, Inverness","Residential Area","Her daughter, Alice Williams, noticed her absence after Davis failed to visit the dog park as planned","Social/Relationship Issues"
