,VPD_NOMINALINCIDENTID_PK,VPD_CONSENTNAME,VPD_NOCONSENTREASON,VPD_CREATEDON,VPD_LASTUPDATEDON,VPD_NOMINALSYNOPSIS,VPD_GPCONSENT,VPD_VPTYPEID_FK,VPD_INCIDENTID_FK,VPD_WELLBEINGCOMMENTS,VPD_NOTINFORMEDREASON,VPD_NOGPCONSENTREASON,VPD_SCRA,VPD_THREEPOINTTEST,VPD_YOUTHATTITUDE,VPD_PARENTATTITUDE,VPD_NOMINALSVIEW,VPD_CHILDPROTECTION,VPD_RECORD_START_DATE,VPD_FORENAME,VPD_SURNAME,VPD_MAIDEN_NAME,VPD_CREATEDON_1,VPD_PLACEOFBIRTH,VPD_PERSONLANGUAGE,VPD_INTERPRETERREQID_FK,VPD_DISABILITY,VPD_DISABILITYDESC,VPD_PERSONETHNICAPPEARANCE,VPD_PERSONGENDER,VPD_KNOWNAS,VPD_REPEATVICTIM,VPD_REPEATPERPETRATOR,misper_misperid,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,vpd_serious_and_organised_crime_exploitation,vpd_stalking_and_harassment,vpd_suicide_concern,vpd_violence_used,vpd_weapon_used__acra_only_,vpd_bullying,vpd_child_at_locus,vpd_neglect,vpd_self_neglect,vpd_child_criminal_exploitation__cce_,vpd_child_sexual_exploitation__cse_,vpd_community_triage_service,vpd_distress_brief_intervention__dbi_,vpd_dsdas,vpd_child_victim,vpd_child_witnessed,vpd_female_genital_mutilation__fgm_,vpd_forced_marriage__fm_,vpd_gambling,vpd_honour_based_abuse__hba_,vpd_human_trafficking,vpd_looked_after_accommodated_child__laac_,vpd_missing_person,vpd_online_child_sexual_abuse_and_exploitation__ocsae_,vpd_pregnancy__unborn_baby_,vpd_sexual_harm,vpd_elderly,vpd_attempted_suicide,vpd_financial,vpd_sight_loss,vpd_physical_disability,vpd_psychological_harm,vpd_self_harm,vpd_isolation,vpd_hearing_loss,vpd_alcohol_consumption,vpd_learning_disability,vpd_communication_needs,vpd_mental_health_issues,vpd_drug_consumption,vpd_other,vpd_radicalisation
0,40970091,Duncan Woods,,2011-11-06 16:46:44,2011-11-06 16:46:44,,100,1,889161,Duncan is receiving appropriate care for his dementia condition.,,,100,1,,,Duncan understood consent despite challenges from dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40970092,Georgina Parry,Would not engage with police,2011-11-21 09:34:44,2011-11-21 09:34:44,,100,1,955323,Duncan requires support due to dementia and does not engage.,Would not engage with police,Would not engage with police,100,2,,,Duncan unwilling to engage with police regarding the situation.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2,40970093,Duncan Woods,,2012-05-10 12:38:44,2012-05-10 12:38:44,Duncan wandered off at the park.,2,1,966643,Duncan requires support due to diagnosed dementia.,,,100,1,,,Duncan able to consent despite challenges from dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,park,,,,disappeared after online interaction,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,40970090,Arthur Williams,Would not engage with police,2012-08-31 17:07:44,2012-09-02 17:07:44,,100,1,972219,Duncan requires regular support due to dementia-related challenges.,Would not engage with police,Would not engage with police,100,2,,,Duncan unable to engage with police due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
4,40970095,Timothy Jackson,No consent was given for information to be shared.,2012-11-22 18:16:44,2012-11-22 18:16:44,,4,1,993900,Duncan has dementia and requires ongoing support for wellbeing.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,1,,,Duncan lacks understanding of information sharing due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,40970096,Duncan Woods,,2013-04-21 10:03:44,2013-04-21 10:03:44,,4,1,998073,Duncan is receiving care and support for his dementia.,,,100,2,,,Duncan consents to database input despite dementia challenges.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
6,40970097,Arthur Williams,No consent was given for information to be shared.,2013-08-21 02:53:44,2013-08-21 02:53:44,"Duncan, 85 with dementia, wandered off from an amusement park into gang territory, now missing.",4,1,998379,Duncan requires support due to dementia; no consent given.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,2,,,Duncan unable to comprehend due to dementia and consent issues.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,"gang territory,amusement park",,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
7,40970098,Duncan Woods,,2013-09-23 07:22:44,2013-09-23 07:22:44,"Duncan, confused, wandered into gang territory from an amusement park, struggling with his dementia condition.",1,1,999470,Duncan is receiving support for his dementia condition.,,,100,1,,,Duncan aware of situation but struggles to fully comprehend.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,"gang territory,amusement park",,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8,40970099,Duncan Woods,,2014-02-25 02:16:44,2014-02-25 02:16:44,Duncan wandered in confusion at the amusement park.,1,1,999736,Duncan is currently stable and receiving appropriate support.,,,100,1,,,Duncan understands situation but requires support for clarity.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,amusement park,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
9,40970090,Duncan Woods,,2014-04-12 11:10:44,2014-04-14 11:10:44,,4,1,999780,Duncan is receiving supportive care for his dementia condition.,,,100,2,,,Duncan provided consent but struggles to comprehend fully.,,28-Nov-2022 14:48:11.000Z[UTC],Duncan,Woods,,2011-08-24 14:44:44,Worcester,English,1,Yes (please specify),Dementia,White Scottish,Male,OliveDrab,N,N,4009,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
