,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types
0,94891,9023,Low,Low,Arthur,McCarthy,1938-07-19,Cambridge,84,Male,Home Address,Retired Travel agency manager,5685,2022-11-24 00:00:00,2022-11-24 15:00:00,Thursday,5027,2022-11-27 11:47:00,"North Road, Insch, AB52 6XP",Home,Francesca Green,"10 Garden Wood, Inchmarlo, AB31 4AW",Traced by staff,"Arthur McCarthy, last seen on Carmelite Street, Banff, went missing after visiting Bog Road with friend Dennis Shaw.",,"Carmelite Street Banff,Bog Road",,,friend,Dennis Shaw,
1,15721,9023,High,High,Arthur,McCarthy,1938-07-19,Cambridge,84,Male,Home Address,Retired Travel agency manager,5685,2023-02-22 11:47:00,2023-02-23 08:47:00,Thursday,6855,2023-02-27 06:02:00,"North Road, Insch, AB52 6XP",Home,Cheryl Weston,"Golden Knowes Road, Aberdeenshire, AB45 2JE",Traced by family,"Arthur McCarthy, with mental health issues, was last seen near Inchmarlo Road, Banchory, AB31 4AB, after involved in criminal activity.",,"Road,Inchmarlo Road Banchory AB31 4AB",,,,,"mental health issues,involved in criminal activity"
2,53051,9023,Low,Low,Arthur,McCarthy,1938-07-19,Cambridge,85,Male,Home Address,Retired Travel agency manager,5685,2023-07-27 06:02:00,2023-07-27 18:02:00,Thursday,1030,2023-07-27 23:12:00,"North Road, Insch, AB52 6XP",Home,Cheryl Weston,"Golden Knowes Road, Aberdeenshire, AB45 2JE",Traced by Police,Arthur McCarthy was found missing after not returning from his regular walking route. Linked to possible sea kayaking with colleague Dennis Shaw near the church.,"church,regular walking route",,,,colleague,colleague Dennis Shaw,"involved in criminal activity,possible sea kayaking accident"
3,95451,9023,Medium,Medium,Arthur,McCarthy,1938-07-19,Cambridge,85,Male,Home Address,Retired Travel agency manager,5685,2023-11-20 23:12:00,2023-11-21 14:12:00,Tuesday,7610,2023-11-26 06:02:00,"North Road, Insch, AB52 6XP",Home,Francesca Green,"Bridgend of Glenlivet, Ballindalloch, AB37 9BX",Traced by Police,"Arthur McCarthy, an 85-year-old retired travel agency manager, was last seen near his home on North Road, Insch, AB52 6XP. His daughter reported him missing when he failed to return from his regular walking route. Arthur, who occasionally enjoyed visiting the nearby synagogue, had unintentionally wandered onto A939, Corgarff, AB36 8YL, disoriented due to his condition. The police traced him to Bridgend of Glenlivet, having safely found his way to local residents who assisted him.","synagogue,regular walking route","North Road Insch AB52 6XP,A939 Corgarff AB36 8YL,Road",,,daughter,,
4,28847,9023,High,High,Arthur,McCarthy,1938-07-19,Cambridge,85,Male,Home Address,Retired Travel agency manager,5685,2023-12-29 06:02:00,2023-12-30 09:02:00,Saturday,1920,2023-12-30 14:02:00,"Bog Road,  AB31 4JU",church,Francesca Green,"Dee Street, Banchory, AB31 5HS",Traced by staff,"Arthur McCarthy was last reported leaving the synagogue near his residence on Bog Road. According to his daughter, he mentioned going to visit a friend in Banchory but never arrived. Concern quickly escalated due to Arthur's age and existing disabilities. A search commenced, focusing on familiar routes he might take, including Inchmarlo Road and the A939, known paths from his travel days. His colleague, Dennis Shaw, helped coordinate the search efforts along these possible routes. Thankfully, Arthur was located by attentive staff at a shop on Dee Street in Banchory. He was disoriented but unharmed and safely reunited with his family.",synagogue,"A939,Inchmarlo Road,Bog Road",,,daughter,colleague Dennis Shaw,
5,49249,9023,Low,Low,Arthur,McCarthy,1938-07-19,Cambridge,85,Male,Home Address,Retired Travel agency manager,5685,2024-01-29 14:02:00,2024-01-29 21:02:00,Monday,4636,2024-02-01 19:18:00,"North Road, Insch, AB52 6XP",Home,Francesca Green,"Golden Knowes Road, Aberdeenshire, AB45 2JE",Traced by member of the public,"Arthur McCarthy, possibly involved in a sea kayaking accident, was last seen on his regular walking route. His daughter reported him missing at the hospital when he failed to return.",regular walking route,,,,daughter,,possible sea kayaking accident
6,41677,9023,Low,Low,Arthur,McCarthy,1938-07-19,Cambridge,85,Male,Home Address,Retired Travel agency manager,5685,2024-03-25 19:18:00,2024-03-26 19:18:00,Tuesday,8953,2024-04-01 00:31:00,"North Road, Insch, AB52 6XP",Home,Pauline Clarke,"10 Garden Wood, Inchmarlo, AB31 4AW",Traced by Police,"Arthur McCarthy was last seen by a friend on Carmelite Street, Banff, AB45 1GF. Prior to his disappearance, Arthur had been in contact with his colleague, Dennis Shaw. It was noted that Arthur left his phone at home before his routine walk. On the day he went missing, Arthur's acquaintances became concerned when he didn't return. A search was initiated along his frequent route, which included stretches of A939 near Corgarff, AB36 8YL. Eventually, Arthur was located safe and sound after being traced to an address in Inchmarlo.",,"Carmelite Street Banff AB45 1GF,A939",,,"friend,friend",colleague Dennis Shaw,left phone at home
7,22107,9023,Medium,Medium,Arthur,McCarthy,1938-07-19,Cambridge,85,Male,Home Address,Retired Travel agency manager,5685,2024-06-02 00:31:00,2024-06-02 15:31:00,Sunday,7182,2024-06-07 00:13:00,"North Road, Insch, AB52 6XP",Home,Dennis Shaw,"Craigour Road, Torphins, AB31 4UE",Traced by Police,"Arthur McCarthy, known to have mental health issues, went missing from his home on North Road. His friend, Jodie Jones, expressed concern when he failed to attend a meeting. Search efforts focused on the roads, including Bog Road and A939, Corgarff, areas he frequently visited. Arthur was found by police in a disoriented state on Craigour Road, Torphins. He had wandered away unintentionally but was unharmed.",,"Bog Road,A939 Corgarff",,Jodie Jones,friend,,mental health issues
8,82750,9023,Low,Low,Arthur,McCarthy,1938-07-19,Cambridge,86,Male,Home Address,Retired Travel agency manager,5685,2024-07-21 00:13:00,2024-07-21 00:13:00,Sunday,4894,2024-07-24 09:47:00,"North Road, Insch, AB52 6XP",Home,Francesca Green,"Golden Knowes Road, Aberdeenshire, AB45 2JE",Traced by Police,"Arthur McCarthy, an experienced sea kayaker despite his age, was last known to be preparing for a solo kayaking trip along the rugged coastline near Carmelite Street, Banff, AB45 1GF. Arthur had often expressed his love for the sea to his friend Rachel McCarthy, who became concerned when he failed to return home to North Road, Insch, AB52 6XP after the planned excursion. Initially dismissed as a possible minor oversight, concerns grew when Arthur did not contact anyone as usual. Rachel, unable to reach him, contacted local authorities, emphasizing the potential for a sea kayaking accident, especially given the unpredictable tides and currents along that stretch of coast. After an intensive search that involved coast guard resources, Arthur was traced safely on Golden Knowes Road, having gone off course but managing to navigate safely back to land.",,"North Road Insch AB52 6XP,Carmelite Street Banff AB45 1GF",,Rachel McCarthy,"friend,friend",,possible sea kayaking accident
9,25076,9023,High,High,Arthur,McCarthy,1938-07-19,Cambridge,86,Male,Home Address,Retired Travel agency manager,5685,2024-11-07 09:47:00,2024-11-08 02:47:00,Friday,3644,2024-11-09 22:31:00,"North Road, Insch, AB52 6XP",Home,Dennis Shaw,"10 East Cathcart Street,  AB56 1PJ",Traced by Police,"Arthur McCarthy was last seen leaving a hospital near Bog Road. Concerns arose after he failed to meet colleague Dennis Shaw for sea kayaking. His daughter, Rachel McCarthy, alerted authorities. A possible sea kayaking accident is suspected, leading to a thorough search.",,Bog Road,,Rachel McCarthy,"colleague,daughter",colleague Dennis Shaw,possible sea kayaking accident
