1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Kemper Avenue, Falkirk","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Dumbarton Road","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Mountain trail near 1 Goosecroft Road, Stirling","Trail/Hiking Path","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"1 Goosecroft Road, Stirling","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Kirk Entry Bo'ness Road, Falkirk","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"130 Bo'ness Road, Grangemouth","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Craigs Terrace, Rumford","Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Craigs Terrace, Rumford","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"West Bridge Street, Falkirk","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"West Bridge Street, Falkirk","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Kemper Avenue, Falkirk","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Kemper Avenue, Falkirk","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Burnbank Road, Falkirk","Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Burnbank Road, Falkirk","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"17 Whitehouse Road, Stirling","Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"17 Whitehouse Road, Stirling","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Park Avenue, FK2 9LG","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Park Avenue, FK2 9LG","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Greenside Street, Alloa","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Greenside Street, Alloa","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Dumbarton Road","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Dumbarton Road","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"1 Goosecroft Road, Stirling","Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"1 Goosecroft Road, Stirling","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Kirk Entry Bo'ness Road, Falkirk","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Kirk Entry Bo'ness Road, Falkirk","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Craigs Terrace, Rumford","Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Craigs Terrace, Rumford","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"West Bridge Street, Falkirk","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"West Bridge Street, Falkirk","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Kemper Avenue, Falkirk","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Kemper Avenue, Falkirk","Road/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Burnbank Road, Falkirk","Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Burnbank Road, Falkirk","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"17 Whitehouse Road, Stirling","Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"17 Whitehouse Road, Stirling","Residential Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
1240,"Park Avenue, FK2 9LG","Road/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
