,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types
0,78303,51,Medium,High,Charlotte,Saunders,2010-07-23,Nottingham,10,F,Home Address,,9430,2021-04-18 00:00:00,2021-04-18 11:00:00,Sunday,3246,2021-04-20 06:06:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Jacob Harris,"Balmoral Road, Blairgowrie, PH10 7HY",Traced by Police,"Charlotte Saunders was last seen leaving her home on Ruthven Road without her phone. Prior to her disappearance, she exhibited noticeable personality changes, described by her guardian as withdrawn and unusually quiet. On the morning she was reported missing, Charlotte was expected to meet a colleague, Maureen Turner, at a nearby cafe but never arrived. The inconsistency in her behavior raised concerns, and the decision to leave her phone behind only added to the mystery. After a two-day search by the police, Charlotte was found safe at a friend's house on Balmoral Road, having sought refuge due to personal distress.",cafe,,,,colleague,colleague Maureen Turner,"left phone at home,personality changes before disappearance"
1,25212,51,Low,Low,Charlotte,Saunders,2010-07-23,Nottingham,10,F,Home Address,,9430,2021-05-17 06:06:00,2021-05-17 15:06:00,Monday,2998,2021-05-19 08:04:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Jacob Harris,"83 Burnside Avenue,  PH22 1SE",Traced by staff,"Charlotte Saunders, a young foster child, was reported missing from her home on Ruthven Road. Before her disappearance, she had been exhibiting noticeable personality changes. Charlotte often frequented the playground on Park Road, Ballachulish, with her friend. However, on the day she vanished, she left her phone at home, which was unusual for her. Her guardian mentioned she had recently been attending a dance studio on Moray Street, Blackford, which Charlotte described as a happy place. There were tensions around her child custody-related situation, which may have contributed to her unexpected journey. She was safely traced at a relative's house days later.","dance studio,playground","Moray Street Blackford,Park Road Ballachulish","child custody-related,beach,national park",,friend,,"personality changes before disappearance,left phone at home"
2,26066,51,High,High,Charlotte,Saunders,2010-07-23,Nottingham,11,F,Home Address,,9430,2021-10-25 08:04:00,2021-10-25 05:04:00,Monday,127,2021-10-25 10:11:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Lee Howarth,"Balmoral Road, Blairgowrie, PH10 7HY",Traced by Police,"Charlotte Saunders, escaping domestic violence, was last seen near a field off Moray Street, Blackford. Her foster mother reported her missing. She was located by police at a nearby beach after a search of the area.",,Moray Street Blackford,"beach,field",,foster mother,,domestic violence escape
3,47042,51,Low,Low,Charlotte,Saunders,2010-07-23,Nottingham,11,F,Home Address,,9430,2022-04-03 10:11:00,2022-04-03 17:11:00,Sunday,732,2022-04-03 22:23:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Jacob Harris,"36 & 38 Sydney Crescent, Auchterarder, PH3 1BB",Traced by Police,"Charlotte Saunders was last seen at a playground near 6 Seggieden Place, St Madoes. After a child custody-related meeting went awry, her colleague Allan Powell noticed she was missing. Charlotte was found later in a field near Balavil Brae, Newtonmore, when police traced her using local information. She was returned safely and without harm after being located.",playground,"6 Seggieden Place St Madoes,Balavil Brae Newtonmore","child custody-related,field",Allan Powell,colleague,,
4,69413,51,Medium,Medium,Charlotte,Saunders,2010-07-23,Nottingham,11,F,Home Address,,9430,2022-07-21 22:23:00,2022-07-22 05:23:00,Friday,4599,2022-07-25 03:02:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Sophie Jackson,"Balmoral Road, Blairgowrie, PH10 7HY",Traced by Police,"Charlotte Saunders was reported missing after last being seen at a field near Murrayshall, Perth, PH2 7PL. Charlotte often visited the area with her friend, but on this occasion, she was alone. Concern arose when Charlotte failed to return home as expected. Her foster mother contacted her friends, including Joshua Coates, to gather any information about her whereabouts. Despite a thorough search of the immediate area and inquiries made with those nearby, Charlotte was not located initially. Police efforts intensified until she was eventually traced to Balmoral Road, Blairgowrie. The specific circumstances leading to her disappearance remain unclear, but she was found safe.",,"Perth,Murrayshall Perth PH2 7PL",field,Joshua Coates,"friend,foster mother,friend",,
5,7879,51,Low,Low,Charlotte,Saunders,2010-07-23,Nottingham,12,F,Home Address,,9430,2023-01-21 03:02:00,2023-01-21 03:02:00,Saturday,6408,2023-01-25 13:50:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Sophie Jackson,"22-24 Whitefriars Street, Perth, PH1 1PP",Traced by Police,"Charlotte Saunders was last seen leaving her foster father’s house on Ruthven Road, Kingussie. She had mentioned to her friend and fellow volunteer at a local organization her plans to visit the Phoines Estate, Newtonmore, PH20 1BE, for an afternoon. However, Charlotte never arrived at the estate. One report indicated that she contacted a stranger before vanishing, raising concerns about her safety. Her absence was reported, and while the initial risk was assessed as low, authorities remained vigilant. Charlotte was eventually traced by police to an address on Whitefriars Street, Perth. Despite the worrying circumstances, she was found unharmed and was subsequently reunited with her foster family.",volunteer,"Phoines Estate Newtonmore PH20 1BE,Newtonmore PH20,Perth",,,"friend,friend,foster father",,contacted a stranger before vanishing
6,13960,51,Medium,Medium,Charlotte,Saunders,2010-07-23,Nottingham,12,F,Home Address,,9430,2023-02-14 13:50:00,2023-02-15 09:50:00,Wednesday,1525,2023-02-15 15:15:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Kate Johnson,"36 & 38 Sydney Crescent, Auchterarder, PH3 1BB",Traced by Police,"Charlotte Saunders was last seen leaving 83 Burnside Avenue, a location close to her part-time job. According to Dorothy Turner, a colleague, Charlotte had expressed concerns about a child custody-related issue involving her foster care situation. Despite assurances from her friend, Jean Hodgson, Charlotte seemed distressed and mentioned wanting to clear her head. It is believed she wandered towards the nearby beach to perhaps find solace. Efforts to locate her intensified when Maureen Turner, another colleague, alerted authorities. Charlotte was later found safe by police at an acquaintance's residence and returned to her foster guardians.",job,83 Burnside Avenue,"child custody-related,beach",Dorothy Turner,"colleague,friend,friend","colleague,Jean Hodgson",
7,65672,51,Medium,Low,Charlotte,Saunders,2010-07-23,Nottingham,12,F,Home Address,,9430,2023-06-10 15:15:00,2023-06-11 11:15:00,Sunday,8862,2023-06-16 18:57:00,"1 Leonard Street, Perth, PH2 8HE",gym,Lee Howarth,"36 & 38 Sydney Crescent, Auchterarder, PH3 1BB",Traced by family,"MP, Charlotte Saunders, was last seen at a dance studio near Inver, Dunkeld, PH8 0JR. Reports indicate Charlotte left the location with a friend, Carole Brown, shortly after an altercation involving her foster guardians. Charlotte's case has elements of a domestic violence escape, noted due to previous issues in the foster home. It is believed this might have influenced her decision to leave suddenly with Carole. In the past, Carole had helped Charlotte during family disputes, which led investigators to suspect their destination involved another known address, 4 Moncur Road, Inchture, PH14 9QA. Charlotte's sudden departure raised concerns amongst her caregivers, prompting a missing person's report. After several days of searching, family members located Charlotte in a nearby town, safe but apprehensive about returning to the custody of her foster home.",dance studio,"Inver Dunkeld PH8 0JR,4 Moncur Road Inchture PH14 9QA",child custody-related,Carole Brown,friend,,domestic violence escape
8,82338,51,High,High,Charlotte,Saunders,2010-07-23,Nottingham,13,F,Home Address,,9430,2023-09-11 18:57:00,2023-09-12 21:57:00,Tuesday,8779,2023-09-17 21:16:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Lee Howarth,"22-24 Whitefriars Street, Perth, PH1 1PP",Traced by Police,"Charlotte Saunders, a 13-year-old with a high-risk assessment, disappeared from her home on Ruthven Road. Her foster mother, Mandy Farmer, noticed troubling personality changes weeks prior. On the day she vanished, Charlotte left her phone at home and mentioned volunteering at a national park. Her dance studio friends last saw her near a field. After an intensive search, police located her safely at a university on Whitefriars Street, bringing relief to her worried family and community.","dance studio,volunteer,university",,"field,national park",Mandy Farmer,foster mother,,"left phone at home,personality changes before disappearance"
9,38698,51,High,High,Charlotte,Saunders,2010-07-23,Nottingham,13,F,Home Address,,9430,2023-11-04 21:16:00,2023-11-05 07:16:00,Sunday,5313,2023-11-08 13:49:00,"Ruthven Road, Kingussie, PH21 1ER",Home,Kate Johnson,"Riggs Road, Perth, PH1 1PR",Traced by member of the public,"Charlotte was last seen leaving 6 Seggieden Place. After contacting a stranger, she vanished, leaving her phone at home.",,6 Seggieden Place,travel-related,,,,"contacted a stranger before vanishing,personality changes before disappearance,left phone at home"
