1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
99232,"Truck stop","Highway/Service Area","Traced by police at a truck stop","Impulsive/Crisis Location"
67183,"312 Greengairs Road, Greengairs","Residential/Home","Last seen by her son leaving her home at 312 Greengairs Road","Isolation Seeking"
67183,"Finavon Street, Dundee","Street/Urban Area","Reportedly heading towards a local concert venue on Finavon Street, Dundee","Impulsive/Crisis Location"
7877,"3 St Andrew's Way, Livingston","Residential/Home","Last seen at a truck stop near 3 St Andrew's Way, Livingston","Isolation Seeking"
7877,"Finavon Street, Dundee","Street/Urban Area","Concerns arose when Deborah's brother, who was overseeing some construction projects, noticed her absence from a planned visit to a site on Finavon Street, Dundee","Impulsive/Crisis Location"
32336,"312 Greengairs Road, Greengairs","Residential/Home","Last seen by her sister at her home on 312 Greengairs Road, Greengairs","Isolation Seeking"
32336,"Finavon Street, Dundee","Street/Urban Area","Investigations led police to a construction site at the far end of Finavon Street, Dundee","Impulsive/Crisis Location"
41401,"312 Greengairs Road, Greengairs","Residential/Home","Vanished from 312 Greengairs Road amid abduction suspicion","Isolation Seeking"
41401,"Dundee zoo","Zoo/Amusement Park","Located near Dundee zoo","Impulsive/Crisis Location"
20791,"312 Greengairs Road, Greengairs","Residential/Home","Last seen at 312 Greengairs Road, near the truck stop","Isolation Seeking"
20791,"Truck stop","Highway/Service Area","Last seen at a nearby truck stop by a local named Georgina Jones","Impulsive/Crisis Location"
36134,"312 Greengairs Road, Greengairs","Residential/Home","Reported missing from her home at 312 Greengairs Road, Greengairs","Isolation Seeking"
36134,"2-33 Calum Macdonald Court, Rosyth","Residential/Home","Traced her to a retirement community at 2-33 Calum Macdonald Court, Rosyth","Isolation Seeking"
26568,"312 Greengairs Road, Greengairs","Residential/Home","Last seen leaving her home at 312 Greengairs Road, Greengairs","Isolation Seeking"
26568,"Finavon Street, Dundee","Street/Urban Area","Concerns arose when Deborah's brother, who was overseeing some construction projects, noticed her absence from a planned visit to a site on Finavon Street, Dundee","Impulsive/Crisis Location"
26568,"Lotland Street","Street/Urban Area","Traced by a member of the public at a zoo in Edinburgh, far from her usual surroundings","Impulsive/Crisis Location"
19445,"Truck stop","Highway/Service Area","Last seen at a suburban truck stop near 312 Greengairs Road by her son","Impulsive/Crisis Location"
19445,"City zoo","Zoo/Amusement Park","Traced by police the next day wandering near a city zoo","Impulsive/Crisis Location"
55378,"3 St Andrew's Way, Livingston","Residential/Home","Linked to unpaid debts, abduction suspicion arose","Isolation Seeking"
55378,"Market Street, Edinburgh","Street/Urban Area","Eventually found by police unharmed in the attic of an acquaintance's property on Market Street, Edinburgh","Impulsive/Crisis Location"
78162,"312 Greengairs Road, Greengairs","Residential/Home","Initially reported missing from her residence at 312 Greengairs Road, Greengairs","Isolation Seeking"
78162,"Truck stop","Highway/Service Area","Last seen at a nearby truck stop by a local named Georgina Jones, who reported that Deborah seemed slightly disoriented but otherwise in good spirits","Impulsive/Crisis Location"
69218,"Finavon Street, Dundee","Street/Urban Area","Last seen at a truck stop near Finavon Street, Dundee, amidst speculation about unpaid debts linked to her","Impulsive/Crisis Location"
69218,"Strathalmond Road, Edinburgh","Street/Urban Area","Traced to Strathalmond Road, Edinburgh, by a member of the public, safe but somewhat disoriented","Impulsive/Crisis Location"
22965,"Finavon Street, Dundee","Street/Urban Area","Residing in a retirement community on Finavon Street, Dundee","Isolation Seeking"
22965,"312 Greengairs Road, Greengairs","Residential/Home","Found several days later at 312 Greengairs Road, Greengairs, safe and sound","Isolation Seeking"
59078,"3 St Andrew's Way, Livingston","Residential/Home","Linked to unpaid debts, abduction suspicion arose","Isolation Seeking"
59078,"Retirement community","Residential/Home","Reunited later","Isolation Seeking"
6504,"312 Greengairs Road, Greengairs","Residential/Home","Last seen leaving her home at 312 Greengairs Road, Greengairs","Isolation Seeking"
6504,"St Andrew's Way, Livingston","Highway/Service Area","The police later found her car abandoned near a truck stop at St Andrew's Way, Livingston","Impulsive/Crisis Location"
76204,"312 Greengairs Road, Greengairs","Residential/Home","Last seen leaving her home at 312 Greengairs Road","Isolation Seeking"
76204,"3 St Andrew's Way, Livingston","Residential/Home","A colleague reported seeing Deborah in the company of an unknown individual at 3 St Andrew's Way, Livingston, raising abduction suspicion","Impulsive/Crisis Location"
80333,"312 Greengairs Road, Greengairs","Residential/Home","Vanished from home on 312 Greengairs Road","Isolation Seeking"
80333,"Finavon Street, Dundee","Street/Urban Area","Her son reported her near a truck stop on Finavon Street, Dundee","Impulsive/Crisis Location"
94429,"3 St Andrew's Way, Livingston","Residential/Home","Last seen at the truck stop near 3 St Andrew's Way, Livingston, EH54 8DJ","Impulsive/Crisis Location"
94429,"Retirement community","Residential/Home","Located in an attic within a retirement community, disoriented but unharmed","Isolation Seeking"
10725,"312 Greengairs Road, Greengairs","Residential/Home","Last seen at her home, 312 Greengairs Road, Greengairs","Isolation Seeking"
10725,"Concert venue","Street/Urban Area","Linked to organized protests at a concert venue","Impulsive/Crisis Location"
72638,"3 St Andrew's Way, Livingston","Residential/Home","Her brother noticed her missing from the truck stop at 3 St Andrew's Way, Livingston","Isolation Seeking"
