1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
58137,"Limekilns Road, Dunfermline","Road/Street","Concern heightened after Antony didn't return home, leading to a search by friends and police","Family-Related Location"
58137,"Wood Road, Rosyth","Road/Street","He was ultimately found in a secluded alleyway near Wood Road, Rosyth, KY11 2EA","Disorientation Location"
22210,"75 Nethergate","Road/Street","Reports suggest that Antony might have been experiencing symptoms related to an unknown medical condition, which could have led to disorientation","Disorientation Location"
22210,"38 Backmarch Crescent, Rosyth","Road/Street","Eventually finding Antony safe in an alleyway near 38 Backmarch Crescent, Rosyth","Disorientation Location"
1567,"12 Selvage Street, Rosyth","Road/Street","Mason has a history of frequenting family-related establishments, and his last known whereabouts were correlated with the vicinity of 12 Selvage Street, Rosyth","Family-Related Location"
1567,"Wood Road, Rosyth","Road/Street","After days of searching, the police eventually located Antony on Wood Road, where his absence was initially discovered","Disorientation Location"
21712,"1 Collinswell Drive, Burntisland","Road/Street","His sister, Kelly Mason, reported that Antony intended to visit a friend residing at an assisted living facility near Hawkcraig Road, Aberdour","Family-Related Location"
21712,"Wood Road, Rosyth","Road/Street","After several days, Antony was traced by his family to Wood Road, Rosyth, appearing disoriented but safe","Disorientation Location"
39796,"6-9 West Green, Crail","Residence","Before his disappearance, Antony had been in contact with his friend, Marilyn","Family-Related Location"
39796,"1 Newton Place, Rosyth","Road/Street","Antony was eventually traced by a member of the public at 1 Newton Place, Rosyth, KY11 2LX","Disorientation Location"
14545,"34 Kirkton Drive, Burntisland","Road/Street","Antony's brother noted increasing concerns about Antony's mental health","Mental Health Location"
14545,"1 Grange House Gardens, Burntisland","Road/Street","Antony was eventually located in a closet at 1 Grange House Gardens, Burntisland","Disorientation Location"
26722,"28 Fairykirk Road, Rosyth","Road/Street","He was eventually found safe inside a closet at 28 Fairykirk Road, Rosyth","Disorientation Location"
80808,"28 Castle Street, Crail","Road/Street","Concerned after he failed to attend a meeting with friend Justin Riley at 28 Castle Street, Crail","Family-Related Location"
80808,"Wood Road, Rosyth","Road/Street","Antony, who has an unknown medical condition, was eventually located near a mental health-related facility at Wood Road, Rosyth","Disorientation Location"
43972,"Nursing Home","Residence","Antony Mason's brother reported him missing from a nursing home due to an unknown medical condition","Family-Related Location"
12220,"Alleyway near home","Alleyway","His sister Amanda Mason noted his absence during a mental health-related episode while attending their grandchild's school event","Disorientation Location"
42973,"30 Selvage Place, Rosyth","Road/Street","It appears Antony was confused and had sought shelter in a closet within the premises","Disorientation Location"
6340,"10 Rumford, Crail","Church","Additionally, his history of mental health-related incidents prompted checks at a nearby physical therapy clinic","Mental Health Location"
6340,"1 Kerr Court, Burntisland","Road/Street","Eventually, Antony was discovered unresponsive yet safe in a closet at 1 Kerr Court, Burntisland","Disorientation Location"
7573,"Lammerlaws, Burntisland","Road/Street","Police traced him to Lammerlaws, Burntisland, following information from his brother regarding recent sightings near Hawkcraig Road, Aberdour","Disorientation Location"
89155,"9 Lowry Place, Rosyth","Road/Street","His sister, Kelly Mason, reported him missing after finding his closet empty","Family-Related Location"
89155,"Carnegie Avenue, Dunfermline","Road/Street","Staff traced him near Carnegie Avenue, Dunfermline","Disorientation Location"
85333,"Castlandhill Road, Rosyth","Road/Street","His sister, Karen Mason, became concerned when Antony didn’t arrive at her place on Castlandhill Road, Rosyth, as planned","Family-Related Location"
85333,"3 Seals Craig View, Burntisland","Road/Street","Thankfully, Antony was traced and found safe by police there","Disorientation Location"
