2 Dalgleish Road, Dundee, DD4 7JR
135 Rosebank Street, Dundee, DD3 6PP
Discovery Quay, Dundee, DD1 4XA
Roseberry Street, Dundee, DD2 2NS
150 Strathmartine Road, Dundee, DD3 7SE
Unit 3 Fowler Road, Dundee, DD5 3RU
16 Cleghorn Street, Dundee, DD2 2NR
Commerce Street, Brechin, DD9 7BD
31 Church Road, Dundee, DD2 5NN
New Road, Forfar, DD8 2AE
Adelaide Place, Dundee, DD3 6LE
22 Marine Parade Walk, Dundee, DD1 3AU
Hyndford Street, Dundee, DD2 1HQ
Fort Street, Dundee, DD2 1BS
31 Step Row, Dundee, DD2 1AH
28 Railton Gardens, Arbroath, DD11 3FA
Tayside Street, Carnoustie, DD7 6AX
1 Logie Street, Dundee, DD2 2QF
3 Boniface Place, Dundee, DD2 5DR
296A Strathmore Avenue, Dundee, DD3 6SH
Glamis Road, Dundee, DD2 2UB
1 Pitfour Street, Dundee, DD2 2NT
Ballumbie Road, Dundee, DD4 0PD
Auldbar Road, Forfar, DD8 2PD
St Mary's Lane, Newport-on-Tay, DD6 8AH
Finavon Street, Dundee, DD4 9DU
41 Dock Street, Dundee, DD1 3DR
11 Panmure Terrace, Dundee, DD5 2QL
Findcastle Street, Dundee, DD4 9EW
10 Ancrum Road, Dundee, DD2 2HZ
East School Road, Dundee, DD3 8NX
1 Alloway Place, Dundee, DD4 8UA
541 South Road, Dundee, DD2 4FP
6 Lownie Road, Forfar, DD8 2RT
Gray Den, Dundee, DD2 5LR
214 Broughty Ferry Road, Dundee, DD4 6LD
King's Cross Road,  DD2 3PT
Turnberry Avenue, Dundee, DD2 3TP
Kirsty Semple Way, Dundee, DD2 4BF
Derwent Avenue, Dundee, DD3 0AX
