,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types
0,17220,4295,Medium,Medium,Allan,Holden,1926-08-08,Salisbury,95,Male,Home Address,Retired Production engineer,6673,2022-05-07 00:00:00,2022-05-07 14:00:00,Saturday,9157,2022-05-13 08:37:00,"Glengallen Road, Oban, PA34 4HH",Home,Natalie Murray,"31 Step Row, Dundee, DD2 1AH",Traced by Police,"Allan Holden, estranged from relatives and increasingly paranoid about surveillance, vanished from the locker room at his home on Glengallen Road, Oban. His colleagues noticed his absence when he failed to show up for a planned meeting. Allan's daughter later revealed he had expressed interest in starting afresh. This prompted a broader search along his regular walking route and nearby areas.","regular walking route,Home","Oban,Oban,Road,Glengallen Road Oban",locker room,,"colleague,colleague,colleague,daughter",,"was paranoid about surveillance,interested in starting new life,estranged from relatives"
1,15085,4295,Low,Low,Allan,Holden,1926-08-08,Salisbury,96,Male,Home Address,Retired Production engineer,6673,2022-09-12 08:37:00,2022-09-12 16:37:00,Monday,2761,2022-09-14 06:38:00,"Glengallen Road, Oban, PA34 4HH",Home,Leah Manning,"North Pier, Oban, PA34 5QD",Traced by Police,"Allan Holden, a 96-year-old male with a disability, went missing from his home on Glengallen Road, Oban. His daughter, concerned about his well-being, reported him missing later that day. Allan was known to enjoy walks and was often seen around familiar spots in town. After an extensive search, local police traced him to the North Pier, Oban, PA34 5QD. Allan was found in good health despite his advanced age and disability, albeit confused about his whereabouts. He was safely reunited with his family, who were relieved to find him unharmed.",Home,North Pier Oban PA34 5QD,,,daughter,,
2,30800,4295,High,High,Allan,Holden,1926-08-08,Salisbury,96,Male,Home Address,Retired Production engineer,6673,2022-12-21 06:38:00,2022-12-22 07:38:00,Thursday,8569,2022-12-27 05:27:00,"Glengallen Road, Oban, PA34 4HH",Home,Sheila Davis,"1 Newark Street,  PA14 5PE",Traced by Police,"Allan Holden was last seen in the locker room, acting erratically, estranged from family.",,,locker room,,,,"noted to act erratically,interested in starting new life,estranged from relatives"
3,56872,4295,High,High,Allan,Holden,1926-08-08,Salisbury,96,Male,Home Address,Retired Production engineer,6673,2023-04-25 05:27:00,2023-04-25 08:27:00,Tuesday,9819,2023-05-02 01:06:00,"Glengallen Road, Oban, PA34 4HH",Home,Abigail Robinson,"Larkfield Road, Inverclyde, PA16 0XN",Traced by Police,"Allan Holden, a 96-year-old man with disabilities, went missing under concerning circumstances from his home on Glengallen Road, Oban. A colleague reported that Holden was last seen at a locker room, where he left behind personal items, raising concerns about his safety. Allan often took a regular walking route that passed by North Pier, Oban, but on the day of his disappearance, he deviated from this path. Authorities searched familiar locations but to no avail. He was later discovered by police on Larkfield Road, Inverclyde, having wandered far from home. Despite his initial high-risk status, he was found safe and in good health.",regular walking route,"North Pier Oban,Pier Oban,Larkfield Road Inverclyde",locker room,,colleague,,
4,22649,4295,High,Medium,Allan,Holden,1926-08-08,Salisbury,96,Male,Home Address,Retired Production engineer,6673,2023-07-17 01:06:00,2023-07-17 12:06:00,Monday,5373,2023-07-20 18:39:00,"Glengallen Road, Oban, PA34 4HH",Home,Harry Taylor,"North Pier, Oban, PA34 5QD",Traced by Police,"Allan Holden was last seen by a colleague in the locker room of the community center. Concern grew after he failed to join Anthony Barnes, a friend, for their usual morning walk. Allan was eventually traced by police at North Pier, Oban. It's believed that Allan, who may have been disoriented, wandered from his home on Glengallen Road to the pier, where he was found in good health three days later.",,,locker room,,"colleague,colleague",Anthony Barnes friend,
5,3850,4295,Low,Low,Allan,Holden,1926-08-08,Salisbury,97,Male,Home Address,Retired Production engineer,6673,2023-09-20 18:39:00,2023-09-20 18:39:00,Wednesday,7153,2023-09-25 17:52:00,"Glengallen Road, Oban, PA34 4HH",Home,Norman Howell,"Gallanach Road,  PA34 4PE",Traced by staff,"Allan Holden was last seen departing his home on Glengallen Road for his regular walking route, a stroll frequently noted to include visits to the park. On this occasion, Allan was observed by a colleague to act erratically, raising concerns about his welfare. Despite his advanced age and some disabilities, he embarked on his usual route but failed to return. His daughter alerted authorities after he missed a scheduled check-in. Allan was traced along Gallanach Road, close to Railway Pier, Oban, PA34 4LW, several days later by attentive staff. His unexpected detour and unusual behavior contributed to the reasons behind his disappearance, prompting a search that fortunately resulted in his safe return.","park,regular walking route",Railway Pier Oban PA34 4LW,,,"colleague,daughter,colleague,colleague",,noted to act erratically
6,7814,4295,Low,Low,Allan,Holden,1926-08-08,Salisbury,97,Male,Home Address,Retired Production engineer,6673,2023-09-28 17:52:00,2023-09-29 04:52:00,Friday,10028,2023-10-05 17:00:00,"Glengallen Road, Oban, PA34 4HH",Home,Sheila Davis,"1 Newark Street,  PA14 5PE",Traced by Police,"Allan Holden, a 97-year-old resident, was last seen departing his home on Glengallen Road. He often walked a regular route, leading from North Pier, Oban, PA34 5QD, through Railway Pier, Oban, PA34 4LW. Witnesses, including colleague Sheila Davis, reported that he appeared paranoid about surveillance and was noted to act erratically. Concern grew when he failed to meet his friend at Larkfield Road, Inverclyde, PA16 0XN. The police traced him to 1 Customhouse Way, PA15 1EG, after a tip-off from a concerned observer noticing an elderly man behaving anxiously near the pier. Upon locating Allan, he was found safe, albeit confused, and was reunited with his family shortly after. Authorities believe heightened paranoia contributed to his sudden, unplanned journey.",regular,"North Pier Oban PA34 5QD,Railway Pier Oban PA34 4LW,Larkfield Road Inverclyde PA16 0XN,1 Customhouse Way PA15 1EG",,,"colleague,friend",Sheila Davis,"was paranoid about surveillance,noted to act erratically"
7,88710,4295,Medium,Medium,Allan,Holden,1926-08-08,Salisbury,97,Male,Home Address,Retired Production engineer,6673,2023-11-24 17:00:00,2023-11-25 14:00:00,Saturday,5332,2023-11-28 09:52:00,"Glengallen Road, Oban, PA34 4HH",Home,Rachael Holt,"Larkfield Road, Inverclyde, PA16 0XN",Traced by member of the public,"Allan Holden was last seen in his home at Glengallen Road, Oban before he went missing. Known to frequently visit various locations in the area, his absence was noted when he missed his arranged meet-up with his friend, Paul Simpson. Concern arose after Allan failed to return to the locker room where he often enjoyed discussing old times with Paul. Alerted by his prolonged absence, Paul informed authorities. A public appeal and search ensued, ultimately leading to Allan being traced to Larkfield Road, Inverclyde by a member of the public. His whereabouts during the disappearance remain unclear but Allan was found safe, albeit slightly disoriented, and has since been reunited with his concerned acquaintances.",Home,"Glengallen Road Oban,Larkfield Road Inverclyde,Oban",locker room,,friend,friend Paul Simpson,
8,71917,4295,Low,Low,Allan,Holden,1926-08-08,Salisbury,97,Male,Home Address,Retired Production engineer,6673,2024-05-14 09:52:00,2024-05-14 11:52:00,Tuesday,2179,2024-05-15 22:11:00,"Glengallen Road, Oban, PA34 4HH",Home,Kenneth Smith,"Larkfield Road, Inverclyde, PA16 0XN",Traced by Police,"Allan Holden was last seen leaving his home on Glengallen Road, Oban, presumably to enjoy a solitary hike at the nearby trails, a favorite pastime despite his estrangement from relatives. Close colleagues noted Allan's preference for venturing outdoors alone, a habit that once took him by North Pier, Oban. When he didn't return, concern grew among his few contacts, including a colleague, David, who reported him missing. Police traced Allan's journey from Glengallen Road through Railway Pier, eventually locating him on Larkfield Road, Inverclyde. Though Allan appeared disoriented, he was unharmed, and authorities were relieved he had been found safely.",,"North Pier Oban,Glengallen Road Oban,Railway Pier,Way,Larkfield Road Inverclyde",,David,colleague,,"lost while hiking,estranged from relatives"
9,66933,4295,High,Medium,Allan,Holden,1926-08-08,Salisbury,97,Male,Home Address,Retired Production engineer,6673,2024-06-15 22:11:00,2024-06-16 21:11:00,Sunday,7042,2024-06-20 19:33:00,"Glengallen Road, Oban, PA34 4HH",Home,Sheila Davis,"63-65 Truce Road, Glasgow, G13 3JB",Traced by family,"Allan Holden left Home, acting erratically. Daughter reported him missing. Found on Glengallen Road.",Home,Glengallen Road,,,daughter,,"noted to act erratically,was paranoid about surveillance"
