1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
67425,"Fulton Road","Road/Street","Extensive searches were conducted in the surrounding areas, but it was in a confused state that Lewis was eventually traced and found on Fulton Road by the police","Disorientation"
27894,"Acre Drive, Glasgow","Road/Street","Despite being in the company of his sister, Marian Birch, Lewis decided to venture out on his own to nearby attractions","Impulsive/Crisis Location"
27894,"Main Road, G84 0AH","Road/Street","Witnesses later reported seeing him at a petting zoo on Main Road, G84 0AH","Impulsive/Crisis Location"
27894,"6 Bard Avenue, Glasgow","Residential Area","Police traced him to 6 Bard Avenue, Glasgow, concluding the search after a tense 48-hour period","Disorientation"
99205,"Fulton Road, G62 8PG","Road/Street","After being missing for several hours, a member of the public found Lewis wandering near Fulton Road, G62 8PG","Disorientation"
46504,"Acre Drive, Glasgow","Road/Street","Later, he was found near Acre Drive, Glasgow after concerns were raised by his sister, Chelsea","Disorientation"
82192,"Crow Road, Glasgow","Road/Street","After an extensive search and collaboration with local authorities, Lewis was eventually located by staff near Crow Road, Glasgow, safe but slightly disoriented","Disorientation"
5976,"112-117 West Clyde Street, Helensburgh","Residential Area","Police located him safe at an acquaintance's residence on Bard Avenue, Glasgow, later that day","Disorientation"
5976,"Bard Avenue, Glasgow","Residential Area","Police located him safe at an acquaintance's residence on Bard Avenue, Glasgow, later that day","Disorientation"
75416,"112-117 West Clyde Street, Helensburgh","Residential Area","He mentioned to his brother his intent to visit a resort for volunteer work, possibly near 112-117 West Clyde Street, Helensburgh, G84 8ES","Disorientation"
75416,"Crow Road, Glasgow","Road/Street","He was eventually located by police on Crow Road, Glasgow, unharmed but slightly disoriented","Disorientation"
75416,"Acre Drive, Glasgow","Road/Street","He had accidentally boarded the wrong bus intended for Acre Drive, Glasgow, G20 0TR, leading to his unintended absence","Disorientation"
88037,"Fulton Road, G62 8PG","Road/Street","Concerns escalated after his sister found he wasn't at his expected location on Fulton Road, G62 8PG","Disorientation"
88037,"Crow Road, Glasgow","Road/Street","Fortunately, a member of the public recognized Lewis on Crow Road, having diverted in search of his brother","Disorientation"
88037,"Acre Drive, Glasgow","Road/Street","The family noted he may have intended to visit relatives nearby","Disorientation"
62657,"Main Road, G84 0AH","Road/Street","Close to his home, he was last seen by a neighbor heading in the direction of Main Road, G84 0AH","Disorientation"
62657,"Acre Drive, Glasgow","Road/Street","The police eventually found him on Acre Drive, Glasgow, G20 0TR, having traveled much further than he typically did","Disorientation"
82925,"Acre Drive, Glasgow","Road/Street","Having spent a tranquil afternoon there with his sister, Marian Birch, Lewis had mentioned wanting to take a leisurely walk to the resort nearby","Disorientation"
82925,"Crow Road, Glasgow","Road/Street","Police initiated a search, eventually tracing Lewis to Crow Road, Glasgow","Disorientation"
41663,"112-117 West Clyde Street, Helensburgh","Residential Area","A search ensued with family coordination. Four days later, Lewis was traced by family members near a resort location he often visited during walks","Disorientation"
41663,"Hall Road, Rhu","Residential Area","Known for his routine walks, he often used the regular walking route nearby","Disorientation"
4310,"Main Road, G84 0AH","Road/Street","His daughter, Beverley Douglas, reported last seeing him near a resort","Disorientation"
82317,"Main Road","Road/Street","Lewis Birch, recently released from prison, went missing with his sister at a petting zoo on Main Road","Disorientation"
76770,"Main Road, G84 0AH","Road/Street","He was last seen walking his regular route past Main Road, G84 0AH","Disorientation"
76770,"Hall Road, Rhu","Residential Area","He was last seen walking his regular route past Main Road, G84 0AH","Disorientation"
9841,"Acre Drive, Glasgow","Road/Street","His brother and Joshua McCarthy were concerned as Lewis often visited a resort on his regular walking route along Acre Drive, Glasgow","Disorientation"
44301,"Acre Drive, Glasgow","Road/Street","Concern arose when he didn't return home to Hall Road, Rhu, G84 8RR as expected, leading to a search until he was traced in Glasgow by staff","Disorientation"
100031,"Community Park","Park/Recreational Area","Despite a stable condition, he struggles with dementia and requires consistent care","Disorientation"
100032,"Petting Zoo","Petting Zoo","His sister, Marian Birch, expressed concerns about his safety and vulnerability in public spaces","Disorientation"
100035,"Petting Zoo","Petting Zoo","He has been a repeated victim in similar situations","Disorientation"
100036,"Petting Zoo","Petting Zoo","Recently released from prison, Lewis was spotted at a petting zoo with Rhys Allen, far from home","Disorientation"
100041,"Resort","Resort","Lewis wandered from home to a resort post-petting zoo visit","Disorientation"
