,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types
0,90144,4517,High,Low,Amanda,Cox,2013-11-20,Cambridge,9,F,Home Address,,3352,2022-11-21 00:00:00,2022-11-22 05:00:00,Tuesday,8747,2022-11-27 01:47:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Tracey Bennett,"312 Greengairs Road, Greengairs, ML6 7TQ",Traced by Police,"Amanda Cox, a nine-year-old girl, went missing from her home on Greengairs Road. Known for her adventurous spirit, she had a habit of visiting remote islands nearby. On the day she vanished, her foster mother mentioned Amanda's fascination with exploring a local cave. Concern grew when neither her foster mother nor her friend could locate her there. Eventually, Frank, who often accompanied her on such trips, alerted the authorities. After an extensive search, she was traced back to her home safely by police.",Home,,cave,Frank,"friend,foster mother",,visiting remote island
1,18670,4517,High,High,Amanda,Cox,2013-11-20,Cambridge,9,F,Home Address,,3352,2023-01-23 01:47:00,2023-01-23 19:47:00,Monday,5366,2023-01-26 19:13:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Dale Reynolds,"Great North Road, Muir of Ord, IV6 7XR",Traced by Police,"Amanda Cox, active on social media before vanishing, was last seen at an after-school program. A friend reported she went hiking but did not return. Her foster care caseworker mentioned a possible sea kayaking accident from 312 Greengairs Road, Greengairs, where she was living at the time.",program,312 Greengairs Road Greengairs,,,"friend,friend",,"disappeared after hiking trip,possible sea kayaking accident,active on social media before vanishing"
2,11581,4517,Medium,Medium,Amanda,Cox,2013-11-20,Cambridge,9,F,Home Address,,3352,2023-03-22 19:13:00,2023-03-22 19:13:00,Wednesday,4714,2023-03-26 01:47:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Frances Allen,"312 Greengairs Road, Greengairs, ML6 7TQ",Traced by Police,"Amanda Cox, a 9-year-old girl, was reported missing from her home at 312 Greengairs Road, Greengairs. She was experiencing an identity crisis, struggling with her place within her foster family. Amanda was part of an after-school program that often took field trips, including one recent visit to a remote island. It's plausible that inspired by this trip, Amanda might have resolved to revisit this destination in an attempt to find some clarity or escape. On the day of her disappearance, one of her friends, Kimberley Walsh, mentioned Amanda seemed unusually quiet during their time together at the after-school program. Concerned, Kimberley informed Amanda's foster mother about her worries. She was later traced at her home address by police, safe and sound.","program,Home",312 Greengairs Road Greengairs,,,"friend,friend,foster mother",friend,"identity crisis,visiting remote island"
3,54630,4517,Low,Low,Amanda,Cox,2013-11-20,Cambridge,9,F,Home Address,,3352,2023-06-18 01:47:00,2023-06-18 17:47:00,Sunday,7634,2023-06-23 09:01:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Brett Bond,"Beltie Road,  AB31 4JT",Traced by staff,"Amanda Cox, a young girl with a disability, disappeared during a family hiking trip near a cave by the river. Last seen by a colleague, Helen Atkins, who accompanied them, Amanda ventured away while exploring the area. A possible sea kayaking accident was suspected nearby. Despite extensive search efforts, she eventually surfaced at a local address days later, safe and well.",,,"river,cave",,,colleague Helen Atkins,"possible sea kayaking accident,disappeared after hiking trip"
4,44346,4517,Low,Medium,Amanda,Cox,2013-11-20,Cambridge,9,F,Home Address,,3352,2023-10-16 09:01:00,2023-10-17 06:01:00,Tuesday,1619,2023-10-17 12:00:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Jill Cooper,"Castle Road, Rosyth, KY11 2AU",Traced by Police,"Amanda Cox was last seen near a cave close to 312 Greengairs Road. Concerns arose when a colleague noticed she was missing during an outing. The search extended to a nearby bridge, where a friend reported seeing Amanda. She was eventually traced safely in Rosyth, found by police.",,312 Greengairs Road,"cave,bridge",,"colleague,friend,colleague",,
5,53012,4517,Low,Low,Amanda,Cox,2013-11-20,Cambridge,10,F,Home Address,,3352,2024-01-21 12:00:00,2024-01-21 13:00:00,Sunday,8270,2024-01-27 05:50:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Hayley Freeman,"312 Greengairs Road, Greengairs, ML6 7TQ",Traced by Police,"Amanda Cox was reported missing from her home at 312 Greengairs Road. Witnesses noted she often experienced an identity crisis and could have become lost while hiking near Findcastle Street, Dundee.",,"Findcastle Street Dundee,312 Greengairs Road",,,,,"identity crisis,lost while hiking"
6,45630,4517,Low,Low,Amanda,Cox,2013-11-20,Cambridge,10,F,Home Address,,3352,2024-03-28 05:50:00,2024-03-28 12:50:00,Thursday,2611,2024-03-30 01:21:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Samuel Bailey,"Discovery Quay, Dundee, DD1 4XA",Traced by Police,"Amanda Cox, a 10-year-old girl, was reported missing from her home at 312 Greengairs Road, Greengairs. Her foster mother noticed her absence after Amanda failed to return from the nearby after-school program. Amanda was last seen by a friend, walking towards Findcastle Street, Dundee, an area known for its proximity to a popular hiking destination. Amanda had been active on social media before her disappearance, posting pictures of remote islands and expressing a desire to visit them. Her love for exploring led her to hike near a bridge where she lost her way. Efforts to locate Amanda were intensified, with police tracing her movements based on her social media activities. She was eventually found safe at Discovery Quay in Dundee, after spending two days navigating unfamiliar paths.",program,"312 Greengairs Road Greengairs,Findcastle Street Dundee",bridge,,"foster mother,friend",,"visiting remote island,lost while hiking,active on social media before vanishing"
7,24743,4517,Low,Low,Amanda,Cox,2013-11-20,Cambridge,10,F,Home Address,,3352,2024-04-24 01:21:00,2024-04-24 17:21:00,Wednesday,8215,2024-04-29 18:16:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Leigh Cooper,"St Margaret's Head, North Queensferry, KY11 1HP",Traced by Police,"Amanda Cox was reported missing from her home at 312 Greengairs Road. She is known to enjoy hiking and was last seen in the company of Frank, exploring the caves in a nearby region known for its adventurous pathways. Concerns rose after reports suggested she could have ventured onto a rooftop in the Findcastle Street area, possibly having followed a trail there. Colleague Samuel Bailey, familiar with the risks of such adventures, speculated she might have also taken interest in sea kayaking, leading to a potential accident.",,"Findcastle Street,312 Greengairs Road","cave,rooftop",Frank,"colleague,colleague",colleague Samuel Bailey,"possible sea kayaking accident,lost while hiking"
8,86613,4517,Medium,Medium,Amanda,Cox,2013-11-20,Cambridge,10,F,Home Address,,3352,2024-08-05 18:16:00,2024-08-05 22:16:00,Monday,9628,2024-08-12 10:44:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Andrew Bailey,"Beltie Road,  AB31 4JT",Traced by Police,"Amanda Cox was last seen leaving an after-school program on Findcastle Street, Dundee, DD4 9EW. Colleagues noted she appeared to be grappling with an identity crisis. Concern grew when she missed her usual route home. Her friend Leigh and Victor Owen assisted in the search.","program,Home",Findcastle Street Dundee DD4 9EW,,"Leigh,Victor Owen","colleague,colleague,colleague",,identity crisis
9,45906,4517,Medium,Low,Amanda,Cox,2013-11-20,Cambridge,10,F,Home Address,,3352,2024-09-23 10:44:00,2024-09-23 14:44:00,Monday,3586,2024-09-25 22:30:00,"312 Greengairs Road, Greengairs, ML6 7TQ",Home,Samuel Bailey,"St Margaret's Head, North Queensferry, KY11 1HP",Traced by Police,"Amanda Cox, a child living in foster care, was reported missing from her home at 312 Greengairs Road. Her foster mother discovered Amanda was missing after she failed to return from an outing with a colleague. Search efforts focused on local areas, ultimately leading to a cave near an after-school program. Amanda was found safe in St Margaret's Head after a police search, having wandered away while playing, losing her sense of direction.",program,312 Greengairs Road,cave,,"colleague,foster mother,colleague",,
