,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,q_1,q_1_explanation,q_2,q_2_explanation,q_3,q_3_explanation,q_4,q_4_explanation,q_5,q_5_explanation,q_6,q_6_explanation,q_7,q_7_explanation,q_8,q_8_explanation,q_9,q_9_explanation,q_10,q_10_explanation,q_11,q_11_explanation,q_12,q_12_explanation,q_13,q_13_explanation,q_14,q_14_explanation,q_15,q_15_explanation,q_16,q_16_explanation,q_17,q_17_explanation,q_18,q_18_explanation,q_19,q_19_explanation,q_20,q_20_explanation,q_21,q_21_explanation,q_22,q_22_explanation,q_23,q_23_explanation,q_24,q_24_explanation,q_25,q_25_explanation
0,19640,5264,Medium,Medium,Eleanor,Pollard,1959-11-10,Norwich,60,F,Home Address,Graphic designer,1681,2020-09-02 00:00:00,2020-09-02 21:00:00,Wednesday,1598,2020-09-03 02:38:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Terence Webb,"50 Lothian Road, Edinburgh, EH3 9BY",Traced by family,"Eleanor Pollard, a 60-year-old woman from North Berwick, was reported missing after failing to return home from a visit to a local farm on Abbotsford Road. It was known she had been exhibiting behavioral patterns of suicidal ideation, raising concerns about her safety among family and friends. A colleague mentioned Eleanor had recently expressed interest in visiting remote islands, adding to fears she might have headed to an isolated area. Her grandfather noted a marked shift in her demeanor after a visit to a nearby church, close to 3 Renaissance View. Eleanor was eventually traced by family members at a relative's address on 50 Lothian Road, appearing disoriented but unharmed.",church,"3 Renaissance View,St,St,Road","religious site,farm",,"grandfather,colleague",,"suicidal ideation,visiting remote island",1,Exhibited suicidal ideation raising safety concerns among family and friends.,0,NULL,1,"At 60 years old, she could be considered vulnerable due to age.",0,NULL,0,No known medical or mental health conditions reported.,0,NULL,0,NULL,0,NULL,1,Recent adverse weather could have posed risks while she was missing.,1,Concerns about family conflict may have contributed to her disappearance.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Her disappearance behavior was not typical as it raised significant alarms.,1,Interest in isolated areas could explain her intentions when missing.,0,NULL,1,"Last seen at a farm, her failure to return raised immediate concerns.",0,NULL,0,NULL,0,NULL,1,Exhibited signs of mental distress but no diagnosed condition stated.,0,NULL
1,35726,5264,Medium,Medium,Eleanor,Pollard,1959-11-10,Norwich,60,F,Home Address,Graphic designer,1681,2020-10-22 02:38:00,2020-10-22 18:38:00,Thursday,3864,2020-10-24 19:02:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Beth Knight,"2 Glass Crescent, Winchburgh, EH52 6SL",Traced by Police,"Eleanor Pollard, a resident of Abbotsford Road, North Berwick, was last seen leaving a mosque located on Village Green Road, Stenton, EH42 1TE. Her colleague, Ashleigh Hayward, who usually meets Eleanor at the mosque, noticed her absence later that day, raising concerns about her wellbeing. Eleanor's disappearance was particularly unusual as she was expected to attend a scheduled dental appointment at her regular dentist office shortly thereafter, which she missed. After a thorough search by the authorities, she was eventually traced to a residence on 2 Glass Crescent, Winchburgh, EH52 6SL. The circumstances of her absence remain unclear but the incident was resolved without any harm.","dentist office,mosque",Village Green Road Stenton EH42 1TE,,Ashleigh Hayward,colleague,,,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Unusual for Eleanor to miss a dental appointment she planned to attend.,0,NULL,0,NULL,1,Intended to attend a dental appointment but did not make it.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
2,71675,5264,Low,High,Eleanor,Pollard,1959-11-10,Norwich,61,F,Home Address,Graphic designer,1681,2021-01-24 19:02:00,2021-01-25 04:02:00,Monday,1530,2021-01-25 20:32:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Stephanie Stone,"18 Ware Road,  EH39 4BN",Traced by Police,"Eleanor Pollard, 61, was last seen near the school bus stop at Wester Millerhill, Dalkeith, EH22 1RY. She didn't collect her medication and was reported missing by Carly Thomas, a friend.",,Wester Millerhill Dalkeith EH22 1RY,"school bus stop,boarding school,farm",,,Carly Thomas friend,did not collect medication,0,NULL,0,NULL,1,"Eleanor is 61 years old, which may contribute to her vulnerability.",1,"She did not collect her medication, indicating potential adverse effects.",0,Eleanor does not have dementia or other known medical conditions.,0,There is no indication of her having problems interacting with others.,0,"There is no mention of dependency on drugs, alcohol, or other substances.",0,Eleanor is not on the Child Protection Register.,1,Weather conditions around her disappearance may present additional risks.,0,There is no information suggesting family or relationship problems.,0,There is no indication that Eleanor was involved in domestic violence.,0,"No ongoing issues related to racial, sexual, or cultural matters are mentioned.",0,No involvement in violent or hate crime incidents is reported.,0,"There are no known issues with school, employment, or financial problems.",0,There are no indications of forced marriage or honour-based abuse issues.,0,Eleanor is not reported as a victim of exploitation or trafficking.,1,Her going missing appears to deviate from her normal behaviour.,0,There is no known reason for Eleanor to go missing willingly.,0,No signs of preparations for absence are indicated in the case.,1,She intended to collect her medication but did not complete this action.,0,There is no report of her disappearing previously or facing harm.,0,Eleanor is not considered a risk to others in any way.,0,No additional factors are mentioned that affect the risk assessment.,0,Eleanor does not have a mental health condition apart from dementia.,0,Eleanor does not have dementia or a specific neurological disorder.
3,53892,5264,Medium,Medium,Eleanor,Pollard,1959-11-10,Norwich,61,F,Home Address,Graphic designer,1681,2021-04-25 20:32:00,2021-04-27 11:32:00,Tuesday,8445,2021-05-01 17:17:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Carl Pollard,"1 Quarrybank,  EH22 2NT",Traced by Police,"Eleanor Pollard, a seasoned graphic designer, was last known to be working on a personal project at her residence on Abbotsford Road. Her colleagues in the carpool group became concerned when she failed to show up at their meeting spot for two consecutive days. Family members, including her uncle and grandmother, Beth Knight, reported she left her creative works behind, something unlike her. Investigators traced her movements to 17 Houston Mains Holdings, Uphall, a nearby farm, where she was eventually found safe but disoriented.",carpool group,17 Houston Mains Holdings Uphall,farm,,"uncle,colleague",Beth Knight,left creative works behind,0,NULL,0,NULL,1,"She is 61 years old, possibly vulnerable due to age.",0,NULL,0,NULL,1,"She may struggle in unfamiliar situations, as shown by her disorientation.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,"Her disappearance was out of character, as she left her works behind.",0,NULL,0,NULL,1,She intended to attend a carpool meeting and failed to do so.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
4,77329,5264,Low,Low,Eleanor,Pollard,1959-11-10,Norwich,61,F,Home Address,Graphic designer,1681,2021-09-10 17:17:00,2021-09-10 17:17:00,Friday,354,2021-09-10 23:11:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Terence Webb,"50 Lothian Road, Edinburgh, EH3 9BY",Traced by staff,"Eleanor Pollard was last seen at her home on Abbotsford Road, North Berwick. There were concerns for her safety as she was known to have expressed suicidal ideation and had not collected her prescribed medication. Additionally, there were unverified reports from a neighbor, Douglas, suggesting she might have been involved with a local cult. Eleanor failed to return calls and texts, raising alarm among family and friends. She was traced by staff later that evening at 50 Lothian Road in Edinburgh, appearing disoriented but unharmed. MP was provided with necessary support by emergency services to address her immediate needs and ensure her safety moving forward.",,"Road Edinburgh,Road",,Douglas,,,"possibly involved in cult,did not collect medication,suicidal ideation",1,Eleanor had expressed suicidal ideation prior to going missing.,1,Reports suggest possible involvement with a local cult.,0,Eleanor is 61 years old and does not have specific vulnerabilities due to age or infirmity.,1,"She had not collected her prescribed medication, which may have adverse effects.",0,There are no indications of dementia or other mental health conditions mentioned.,0,There is no specific mention of problems interacting safely with others.,0,"No dependency on drugs, alcohol, or substances is indicated in the case details.",0,Eleanor is not reported as being on the Child Protection Register.,0,Weather conditions are not mentioned as a risk factor in this case.,0,There are no detailed family or relationship problems noted in the record.,0,There are no indications that Eleanor is involved in a domestic violence situation.,0,"No personal issues linked to racial, sexual, or cultural factors are reported.",0,There were no incidents of hate or violent crime mentioned prior to her disappearance.,0,"No issues related to school, employment, or financial problems are noted.",0,There are no mentions of forced marriage or honor-based abuse in her case.,0,Eleanor is not noted as a victim of sexual exploitation or human trafficking.,1,Her going missing occurred under concerning circumstances which differed from her normal behavior.,1,"Eleanor expressed suicidal thoughts, indicating a known reason for her disappearance.",0,There are no indications of preparations for absence prior to her going missing.,1,"Eleanor was last seen at home, and her failure to return raised alarm.",0,There is no information suggesting Eleanor had previously gone missing or was harmed.,0,Eleanor is not considered a risk to others based on the available information.,0,No other unlisted factors are noted in the case for further risk assessment.,1,Eleanor had expressed suicidal ideation indicating potential mental health issues.,0,Eleanor does not have diagnosed dementia or a specific neurological disorder.
5,60643,5264,Medium,Medium,Eleanor,Pollard,1959-11-10,Norwich,62,F,Home Address,Graphic designer,1681,2022-02-11 23:11:00,2022-02-12 08:11:00,Saturday,7640,2022-02-17 06:31:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Terry Porter,"32 Glenorchy Road,  EH39 4QE",Traced by Police,"Eleanor Pollard was last seen leaving her creative works behind at her home on Abbotsford Road, North Berwick. Known to frequent a regular bar with Terry, Eleanor had not picked up her medication for some time, raising concerns among acquaintances. Her absence was noted when she failed to meet Sam at the library, a routine that was unlike her. Witnesses later reported sightings near 61 Old Abbey Road, EH39 4BP, prompting police to intensify their search. Eventually traced to 32 Glenorchy Road, Eleanor was found safely by police officers.","Home,regular bar,library","61 Old Abbey Road EH39 4BP,Road EH39",,"Sam,Terry",,,"suicidal ideation,did not collect medication,left creative works behind",0,NULL,0,NULL,0,NULL,1,Concerns about medication not picked up for some time.,0,NULL,0,NULL,1,Dependency on medication raised concerns among acquaintances.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Concerns about routine and social interactions at the library.,0,NULL,0,NULL,1,Her absence from usual activities was unlike her behaviour.,0,NULL,0,NULL,1,Intended to meet Sam at the library but did not show up.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
6,99274,5264,Low,Low,Eleanor,Pollard,1959-11-10,Norwich,62,F,Home Address,Graphic designer,1681,2022-02-20 06:31:00,2022-02-20 06:31:00,Sunday,7555,2022-02-25 12:26:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Emma Pollard,"18 Ware Road,  EH39 4BN",Traced by family,"Eleanor Pollard, a resident of North Berwick, was reported missing in the early hours. She was last seen leaving her home on Abbotsford Road, allegedly heading to the office. Her colleague later mentioned that she had a tendency to visit the dog park nearby during breaks for some quiet time. Her uncle expressed concern when she failed to show up for a scheduled family visit. A search commenced, with various areas being thoroughly checked, including her regular spots like the dog park and the route near the local synagogue. The breakthrough came when her aunt recalled hearing Eleanor mention a secluded school bus stop she found peaceful. She was eventually located at Ware Road, safe but disoriented, having taken an extended walk to clear her mind.","office,dog park,synagogue",,school bus stop,,"colleague,uncle,aunt,colleague",,,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,"Eleanor tends to feel disoriented in unfamiliar places, like the secluded bus stop.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Her going missing was out of character for her normal patterns.,1,"Eleanor mentioned needing time to clear her mind, explaining her disappearance.",0,NULL,1,She intended to go to the office but did not complete that intention.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
7,29177,5264,Medium,Medium,Eleanor,Pollard,1959-11-10,Norwich,62,F,Home Address,Graphic designer,1681,2022-08-10 12:26:00,2022-08-10 17:26:00,Wednesday,656,2022-08-10 23:22:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Carl Pollard,"32 Glenorchy Road,  EH39 4QE",Traced by Police,"Eleanor Pollard missed a lunch meeting at 4 Redheughs Rigg, concerning her sister, Sharon. Having not collected her medication, Eleanor was last noted in a running group, possibly planning to visit a remote island. She was later located by police.","running group,lunch meeting",4 Redheughs Rigg,,,,sister Sharon,"visiting remote island,did not collect medication",0,NULL,0,NULL,0,NULL,1,Medication is necessary for health management following her appointment.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Her absence was unusual as she missed a planned meeting.,1,"She was likely going to the island, indicating intent to be away.",0,NULL,1,She intended to attend a lunch meeting but did not arrive.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
8,44129,5264,High,High,Eleanor,Pollard,1959-11-10,Norwich,63,F,Home Address,Graphic designer,1681,2022-12-29 23:22:00,2022-12-30 11:22:00,Friday,4536,2023-01-02 02:58:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Hayley Rogers,"5 Buccleuch Place Lane, Edinburgh, EH8 9NT",Traced by member of the public,"MP failed to collect her medication and was last seen leaving a hair salon at 8-10 Forth Street, North Berwick. Her grandmother, Beth Knight, was concerned.",hair salon,Forth Street North Berwick,,,,Beth Knight,did not collect medication,0,NULL,0,NULL,1,"Eleanor, at 63, may face challenges typical for older adults.",1,Missing medication could lead to health complications or distress.,0,Eleanor does not have dementia or other specified health issues.,0,There are no issues with her interacting in unfamiliar situations.,0,No dependency on substances reported.,0,Eleanor is not on the Child Protection Register.,1,"Winter weather could pose risks, especially without proper clothing.",0,No information suggests family conflict or problems.,0,Eleanor has not been reported as a victim or perpetrator of domestic violence.,0,No ongoing personal issues related to community or cultural contexts.,0,No involvement in violent or hate crimes reported.,0,Eleanor does not have noted employment or financial issues.,0,Forced marriage or honour based abuse is not applicable.,0,Eleanor is not a victim of sexual exploitation or trafficking.,1,Her going missing appears inconsistent with her normal behavior.,1,Concerns about missing medication provide context for her disappearance.,0,No preparations for absence have been indicated.,1,Eleanor last intended to collect her medication but did not complete this.,0,No previous disappearances or harm exposure reported.,0,Eleanor poses no risk to others.,0,No other relevant factors have been noted.,0,Eleanor does not have a mental health condition.,0,Eleanor does not have dementia or a neurological disorder.
9,76551,5264,High,High,Eleanor,Pollard,1959-11-10,Norwich,63,F,Home Address,Graphic designer,1681,2023-03-16 02:58:00,2023-03-16 02:58:00,Thursday,5534,2023-03-19 23:12:00,"Abbotsford Road, North Berwick, EH39 5DB",Home,Terry Porter,"2 Glass Crescent, Winchburgh, EH52 6SL",Traced by Police,"Eleanor Pollard, known for her dedication to her artistic endeavors, was last seen near a school bus stop close to her home on Abbotsford Road. Her disappearance left family members and colleagues baffled. Eleanor's brother mentioned that she had recently expressed interest in visiting a remote island, which heightened concerns due to its isolation. Adding to the mystery, Eleanor had left several creative works behind, hinting at possible distress. Her uncle noted a peculiar change in her social circles, fostering speculation about her involvement in a cult. Eleanor had previously been connected with a boarding school through a philanthropic project, but no unusual behavior was reported there. After a coordinated search, Eleanor was successfully traced to Winchburgh, unharmed, yet the reasons behind her disappearance remained partly unresolved.",,,"school bus stop,boarding school",,"brother,colleague,colleague,uncle",,"visiting remote island,left creative works behind,possibly involved in cult",0,NULL,0,NULL,1,"Eleanor is 63 years old, which may contribute to her vulnerability.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,Weather conditions were not stated as a concern.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Her sudden and unexplained disappearance is unusual for her.,1,She expressed interest in visiting a remote island before going missing.,0,NULL,1,"She was last seen near a school bus stop, possibly indicating travel plans.",0,NULL,0,NULL,1,Her connection to a potential cult raises concerns about her well-being.,0,NULL,0,NULL
